,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
35 t/m 44_10.000-19.999,0.030268493819547607,0.03036263125446744,0.0398437578358679,0.02929306494062518,0.029865634129599035,0.03632518969222893,0.04510082523281651,0.04749321836399472,0.0387742675047909,0.03055908553563668,0.03728322105629951,0.04208240097330759,0.05635605176632649,0.04539112035072785,0.03849434708483782,0.04008276466651219,0.04210368982151497,0.04888930771415895,0.039720192004614976,0.03730207099757001,0.03857409875493819,0.04906528537176775,0.047705668321396034,0.04375055806100522,0.03531305474544756
35 t/m 44_20.000-29.999,0.03257533606003778,0.029429002693058797,0.036921504003807414,0.0369867374880392,0.030037177726332808,0.03964670517510699,0.04677819952455342,0.0458693734296434,0.040340810473305476,0.02988179029531402,0.04094509557858825,0.04386217194823747,0.04706334100222008,0.05843222333627333,0.038263054577420345,0.042775955077095244,0.042514086832904203,0.04431324001847564,0.03721496184147734,0.032651993131719154,0.04090183406248905,0.04774156909982477,0.044591069265399,0.04000164683696107,0.030261120521715753
35 t/m 44_more than 30.000,0.03793688859911837,0.041400036600728746,0.03829433338257014,0.024127985975679677,0.02495695157881712,0.04246781043052657,0.041990247240181675,0.05323908158102999,0.03298576423782263,0.02522498657831975,0.029387053895441096,0.042377195064416465,0.04795531456767897,0.04597350034647136,0.07020698868564725,0.031799882469383374,0.03328308123529489,0.041192898685246886,0.04426411389949043,0.045270863475547915,0.02623242579023402,0.04309716850109956,0.04554485789807434,0.04550306843892647,0.045287500842252276
45 t/m 54_less than 4.999,0.03427197402723035,0.02771589117452123,0.03575411885815322,0.03713772030645997,0.029279672946945785,0.04255197933880364,0.04641398253915758,0.04021414379790387,0.04503931676844842,0.03711097633074394,0.050686070777333975,0.04387492835404168,0.04325100714819615,0.04451705426889338,0.027543827168155927,0.0608105757691388,0.05053034842035311,0.04421831350325758,0.02841319921407677,0.024638058125256195,0.05469572803232154,0.0483691435621556,0.04252727916485212,0.03756734563802075,0.022867344765578373
45 t/m 54_5.000-9.999,0.0283889267493622,0.026890341913276987,0.030072802896009398,0.03224983088464461,0.03062914962813539,0.03686855982602843,0.04959687036131086,0.04226756564282231,0.04215528270732571,0.029965499477846807,0.046659445547729494,0.044217011873489136,0.04489467400607902,0.04372156187472657,0.02848776666325265,0.04993308532229235,0.060091801527239745,0.050076484088664046,0.03688436014434393,0.030408414519974423,0.04830556637238593,0.05018608430338579,0.04832995650245731,0.04334844170508112,0.02537051546213598
45 t/m 54_10.000-19.999,0.02701252489580135,0.026730917845389952,0.033391043371512656,0.027748034066195977,0.030132422209129543,0.03362704242203059,0.044170265328566646,0.045971622730714215,0.04137134830960533,0.02895492100019942,0.038452789218942046,0.04332033891614779,0.049211306044635944,0.04302022294179008,0.033283851138757314,0.041249113745462834,0.047272673871461494,0.05672722811202421,0.04205030248703685,0.03898913912081702,0.04078492898497737,0.0518898985990849,0.05072522681013169,0.04831596533364638,0.035596872495938375
45 t/m 54_20.000-29.999,0.02762006109262858,0.033250004877726745,0.03206750856477902,0.024906616220109767,0.03094407799454528,0.030775726116073213,0.04166111200583955,0.04823995720341943,0.03692192304615525,0.02396994976630972,0.028783538714534325,0.037879375208964505,0.048169024569330754,0.043527351109721404,0.04308920695573268,0.03193288029345248,0.041949240455716956,0.050661102097917285,0.06834347733886215,0.051158069664089895,0.030272856514590274,0.049344196980192094,0.051691695741229754,0.04955795608502043,0.04328309138305849
45 t/m 54_more than 30.000,0.025311552805120093,0.032178250870858106,0.030866325544776765,0.021283046066128197,0.027324069879297763,0.03164377731939673,0.03878158075573805,0.05077338162087356,0.033136798583962825,0.02225252124447088,0.026461902781513585,0.03816802863699573,0.04964763349752315,0.04191441917141441,0.04836649315257879,0.030390197837735774,0.037956374233549535,0.051553511308407525,0.0561465717949536,0.07500775502905153,0.026489793523182766,0.046594677803365375,0.05189196442324719,0.05479399846474771,0.05106537365111039
55 t/m 70_less than 4.999,0.03042030069222293,0.024034641856051732,0.03418433255915946,0.03692521743221055,0.027926019045721832,0.03884639386762301,0.045690293077831456,0.03802470900915135,0.04660878850453475,0.036650761020664155,0.0525354232463305,0.04329549629570922,0.0445175901815217,0.045526764773495265,0.02430158084029735,0.058499305542581315,0.05228274398552439,0.04676108354123306,0.028809302843361063,0.02296935629139429,0.06503938388089413,0.05122103389778285,0.044216290533547975,0.03848064050293286,0.022232546578222767
55 t/m 70_5.000-9.999,0.030814889722670602,0.027187672593684428,0.03439399378018027,0.029875347996306544,0.02896905806792319,0.03818505116023172,0.04414010671655988,0.045437444893145565,0.03926871721583396,0.029772068895818297,0.0393464673113609,0.044360961713289834,0.04772544931113047,0.044787882813557243,0.033649967423160385,0.043601912425071034,0.04578090184362164,0.050142676869364036,0.039578129908443664,0.03405229614624482,0.043170609272289995,0.05481712521531304,0.05070353487110768,0.04594858458316991,0.034289149250520866
55 t/m 70_10.000-19.999,0.029421815288857046,0.027324819483254957,0.03318918340002521,0.028481659857046673,0.02667930227759026,0.03552038218253916,0.041204636179790595,0.04585219229171647,0.03769512364800423,0.028447001941630898,0.03657848103382412,0.0438193928781564,0.0483437157291443,0.043581891748890156,0.037048412903461475,0.03993917458364424,0.04593162205502439,0.051067316514712406,0.043195082700482446,0.03950977412870905,0.03882544920940946,0.05282415813362766,0.05710979516843506,0.05172071376199257,0.03668890290003088
55 t/m 70_20.000-29.999,0.029090369726081963,0.02577418665827764,0.0308867530709609,0.02671805629088437,0.025487988920332036,0.03502724935125991,0.03993331619215823,0.04585543585290714,0.03664959160626661,0.026543915253537533,0.03505060002059472,0.041736110657620305,0.04789865231282603,0.04223823054463439,0.03998900466033666,0.03811638032410279,0.04450804539889387,0.05255080274839955,0.0447400609023155,0.04507202623707726,0.036504476956667774,0.051717335086199835,0.05587713928564932,0.06169930279551906,0.04033496914649667
55 t/m 70_more than 30.000,0.02559686855075293,0.02950062361062301,0.03619427026052008,0.020056880523864853,0.026628632665848452,0.033370354314710235,0.039127987231737806,0.04916992031909849,0.03359025203514907,0.025635731730435887,0.024231924501544783,0.04116524479480818,0.04950914150108498,0.04091883506275422,0.05096695372313731,0.029711685641055207,0.03335836329818438,0.04958050516053658,0.05003937386685199,0.05379117290272049,0.02700868623697246,0.049423229593410625,0.05075920250641819,0.051652594373862375,0.07901156559391746
