,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
35 t/m 44_Less than 10 km,0.037762562361014,0.02863513501036406,0.02995109867326159,0.03924992934295317,0.03615775867553582,0.04327027739795778,0.03887703131481481,0.037089105456892826,0.045684069777242695,0.03541079335256633,0.06328730457530855,0.035722225230479486,0.03481876214904053,0.0403300374171616,0.03619576294413346,0.05445451578107675,0.045787225600995296,0.03687408387351156,0.032669691660739936,0.03064024030501817,0.053090321810609034,0.050768534700270825,0.04185494044919275,0.04402586601051016,0.027392726129348725
35 t/m 44_10-19 km,0.038783982290358655,0.04044327738753726,0.040009170422661514,0.03770333760618039,0.04285520645902023,0.036906518562760865,0.05110860027868657,0.03452794684776672,0.03815812861319721,0.046552958832918656,0.03732953679595484,0.06613489920121282,0.03536440218158944,0.03794158178121506,0.036485614459581595,0.04101547092588345,0.03812070750884825,0.039378613010999014,0.03332524940482784,0.03222242530170804,0.038157695297041196,0.04252139739728464,0.04235259354064441,0.043021214953529764,0.029579470938591625
35 t/m 44_20-29 km,0.030916417018862004,0.0294483725512423,0.026600433443483087,0.02777925692350433,0.03877550114934494,0.037970675701601495,0.046446636708294915,0.0336341550140806,0.03991023252480895,0.03951568933280964,0.03760882412961802,0.036553473490512925,0.06835857912530463,0.047774581813628446,0.03895898763152992,0.0411897673792987,0.04441711016757121,0.041530151557322675,0.040063025423240764,0.042957238159295495,0.037941374895691875,0.0444817471634082,0.04444866866128529,0.047243361339452984,0.03547573869480665
35 t/m 44_30-49 km,0.030522212125608104,0.027582828139566997,0.025287170246509675,0.03368643205505605,0.03801914573330249,0.03971907611541566,0.03999270135026888,0.038666699145787395,0.038331034110635744,0.04199349020320215,0.03713768461598024,0.03343393815836141,0.040729273668133247,0.058277752961199907,0.04544949993923462,0.03803513771323228,0.044134895841065835,0.04189146174865731,0.04383978853756529,0.04552516677592761,0.03707539934770325,0.04480432830973801,0.04576588051751697,0.046437919479201444,0.043661083161129606
35 t/m 44_more than 50,0.041620552762919975,0.03693215466728145,0.032883659574787776,0.033406744060950976,0.04342237228403316,0.04728039683465056,0.03862297258491924,0.04272939598756762,0.03374999874146824,0.04064413666618074,0.035523501678075685,0.03426617290542789,0.03539885944220107,0.048439644184418665,0.062111874081832066,0.03272024521189392,0.0345041096177143,0.04539374172991357,0.03548000753910194,0.04078518764439592,0.03226161618039093,0.04117882982809922,0.047148413841592886,0.04048698758570151,0.043008424364480734
45 t/m 54_Less than 10 km,0.033018973538487206,0.027429742818998817,0.02788432807837532,0.03699827201669103,0.03707055227398795,0.03676158249147125,0.04039030613502591,0.031158987584802653,0.047634422834293665,0.04096695007551695,0.05285539598356493,0.038096847195370376,0.03701419782938251,0.04009167715629711,0.03236040483080421,0.061428799725418676,0.05033644549073889,0.037655645041753755,0.03512756022309077,0.03303162701437216,0.05564602768021328,0.050590316671009786,0.0414468272710143,0.04796535543173231,0.027038754607586212
45 t/m 54_10-19 km,0.026984077547298126,0.025636945243628365,0.02413682290446061,0.03813303419868391,0.03651178099581273,0.03530502414024039,0.0428421699127933,0.030691060978540376,0.04143022564920494,0.03994046005189865,0.043943960018528544,0.03501077445635159,0.039466510896450854,0.04599925194094067,0.03374175384672823,0.04977164286663114,0.060739534781451006,0.04015344405926154,0.042063729594984306,0.042513938681218014,0.047893688107029445,0.049865413782587076,0.04223888679227905,0.05110839515200956,0.033877473400987644
45 t/m 54_20-29 km,0.03550493473836847,0.033002731002503796,0.029996012850968697,0.030318973849305143,0.041482296074837464,0.03964228489140795,0.04319820497527366,0.04125300481816032,0.035143883488936364,0.042970435517288456,0.03571452382105219,0.036498073688571775,0.0372400892514589,0.04406187162809736,0.044798304082934566,0.03757493916329,0.04052206461411264,0.06129714176977041,0.03678333398168789,0.04124291641538011,0.035708203117909794,0.043842747493673444,0.044069210870777004,0.0455364573491762,0.042597360545057285
45 t/m 54_30-49 km,0.027601241397441235,0.029019903189935806,0.023082453933722723,0.033604886057147614,0.03685948409090243,0.03597419138255413,0.038207925520390325,0.03227592543177725,0.03436728964219628,0.03821360067993127,0.03438312866168372,0.03356291464921373,0.03903621233959666,0.05010517792142338,0.038047491291459325,0.038088416149952814,0.04612679414967167,0.03996941780211288,0.06660655259501504,0.050837176455290775,0.040084495706659444,0.04889771216318889,0.04711777437110557,0.04978652228172573,0.04814331213590136
45 t/m 54_more than 50,0.02886926177437072,0.0270484839143001,0.02162187409319285,0.027523950575313018,0.03980718218672551,0.03911861575803468,0.04172435921880149,0.038441288766520205,0.02999102265909709,0.03570645787077424,0.03198517911098549,0.032188500749579636,0.0415160994707134,0.051608586762568846,0.04338114901659398,0.035524760251265934,0.04624162632618506,0.0444510846961409,0.05042404533771838,0.06606527077273636,0.03300820234088045,0.045954358701740604,0.04662504944650214,0.04819553053986655,0.05297805965939234
55 t/m 70_Less than 10 km,0.030424127459915108,0.027257326424777555,0.029514527996036252,0.04211499555667571,0.03577194988524539,0.035255230297080276,0.037072468666184556,0.0293637543635234,0.04863433798890259,0.039850802710876945,0.05275655335412906,0.03628516447914641,0.03490580786186049,0.04000927629923909,0.03266548743369871,0.0569691571492713,0.04958890023447707,0.03663577883612896,0.037847493617231644,0.03142145632443515,0.06288942968507465,0.0509119655182739,0.04326289211290689,0.05089942075381507,0.02769169499109388
55 t/m 70_10-19 km,0.03173666466651242,0.028198051878951896,0.02637795757874348,0.033587183287623806,0.034963547684956645,0.04260839898717392,0.040328618646955056,0.03645709528606398,0.03596734129260455,0.036464477020511324,0.04568680294132375,0.036617574280029944,0.03705967008946945,0.04378545947573525,0.03775827164611052,0.04690380838710446,0.04675636116365536,0.040735239750393504,0.04181039998367654,0.039615599206052156,0.04610573462004075,0.056952492914951795,0.04742237612981082,0.04939380751560024,0.0367070655659483
55 t/m 70_20-29 km,0.034849416246503485,0.03254490268224367,0.032488902069883765,0.0323296404415194,0.037598557072417806,0.04040397329831976,0.03776222389714238,0.03515760033663255,0.03493831372389703,0.039059395142207326,0.03852294528826638,0.03730256271828416,0.037875213116099385,0.04574339342679082,0.044216239958603396,0.03930145387263903,0.04050702588277724,0.041877852651792724,0.04120568772312697,0.04110886071345446,0.04007072932656562,0.048502031236846516,0.05824911815502256,0.04795193983430694,0.04043202118465658
55 t/m 70_30-49 km,0.02756236877839832,0.026294059821418993,0.02648787355459477,0.03438631050597886,0.03510231646129275,0.03563480941682781,0.03934559951744334,0.03188063424982838,0.04076717893109386,0.0416129347871589,0.03997981322897102,0.037385348019731535,0.03971890029032646,0.04579514186847987,0.03746194172821157,0.0448750649504863,0.048358212068745736,0.04269415955850615,0.042958023114487404,0.04192595837473136,0.0465141015207762,0.0498435789905219,0.04731145218600604,0.057471092472816065,0.03863312560316634
55 t/m 70_more than 50,0.029271696794257417,0.02650462681148958,0.022179935243469562,0.027017133186903918,0.0363568568158441,0.040868580709758046,0.03533109354431783,0.03902999376180464,0.02909785187878905,0.039086980727609896,0.030734960924543468,0.03175950428104067,0.036851267451166084,0.05319927535600361,0.04916917349865197,0.0312556592751998,0.039605323127128444,0.04934651361877446,0.05132547984985262,0.056942540311798545,0.03126697686454461,0.04576684112726776,0.04928901127718906,0.047733623411085585,0.07100910015150931
