,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
35 t/m 44_20.000-29.999,0.043394281228008924,0.039631076180560894,0.050578859780418796,0.04020719403005618,0.028296846796610514,0.041798072612294276,0.04738303726920507,0.048211485017540946,0.04209387887880672,0.04456820169828161,0.04012939210393921,0.043116568167256356,0.04297015687921198,0.06547290958458399,0.044026260691440014,0.04144398385709791,0.03370390086883113,0.03179077878541132,0.04051585629997118,0.040326815466207346,0.03675176930259962,0.028460904192639736,0.02812814795906355,0.0307809998384196,0.02621862251154315
35 t/m 44_more than 30.000,0.036367240700470226,0.04128862592163042,0.045009560627056654,0.039615159228446724,0.037246837876198306,0.04538610713401265,0.04099147335872301,0.04894006923288889,0.04955141257662113,0.05709793031711588,0.026507826071814213,0.0379682371080791,0.0424692775942147,0.04646408900042584,0.06909828475727045,0.03436892110320595,0.03669089003955064,0.03401075469411285,0.0409558626544117,0.040222587149876796,0.03228553238733936,0.030441893172980898,0.029208259596917217,0.028170883966859506,0.029642283729776887
45 t/m 54_less than 4.999,0.03756418849628636,0.02908048188492802,0.043354789670375066,0.03268679180023651,0.020983613859290737,0.048585950558085324,0.04798804610682402,0.04440054768220599,0.03251889778079049,0.028918391181545246,0.04087149487115838,0.050189043636791275,0.048452621975037254,0.038831121233555824,0.030512564350889285,0.061345127880537906,0.04550405129466393,0.042464384891938205,0.04055945730520045,0.0371243355898441,0.04989398708256527,0.044129543421935126,0.03760302236190315,0.03395078063380723,0.032486764449604945
45 t/m 54_5.000-9.999,0.028040800926436082,0.025289982828869424,0.036089250757484585,0.028402777615399163,0.023478741685117356,0.044815731460768914,0.037892241609439346,0.04838427355346187,0.0381621450710857,0.02743687018230661,0.028206577952029736,0.04727235721498261,0.053606443280157394,0.03243162857492048,0.03345347291748869,0.04673262950584884,0.06300140430718695,0.05160167235967177,0.04507543808779468,0.04037962662434749,0.04417057561416977,0.05182766195622953,0.050439015120606084,0.037412031191633284,0.03639664960256367
45 t/m 54_10.000-19.999,0.0241713106694276,0.02472224940580289,0.032930033073125635,0.027341919977541783,0.019125582263421884,0.039780581911330326,0.035230482278384996,0.04310886438764662,0.0375821143086067,0.02696648462897828,0.025409728554992406,0.045747719243841814,0.05374203335866144,0.03052732423812202,0.030945550696895887,0.04352050990101929,0.05149472704956602,0.06287083286613429,0.04802564849977041,0.04637922381276545,0.042014306879495804,0.05701077594169843,0.05550632108290977,0.04960587300595362,0.046239801963906584
45 t/m 54_20.000-29.999,0.028113801497824595,0.0315706697046498,0.04201843888271803,0.03167642545870515,0.026103672806618433,0.04088508835671743,0.03808128398759639,0.04750254581980617,0.0428274947597142,0.034951737930318874,0.028204084873551312,0.043273367565632846,0.049162453212635036,0.03712981106087439,0.03556380082747745,0.03967084193506932,0.04292883320587357,0.04583353799079445,0.06000112016595943,0.047088359078810746,0.03775886464519903,0.04320040828986444,0.044483365051605196,0.044868851466355116,0.03710114142562863
45 t/m 54_more than 30.000,0.029017801329618113,0.03465432100174739,0.04017673372896495,0.036242989884886063,0.030465127630277606,0.04121068720843809,0.035598175991666946,0.047460453946794254,0.046811555753284995,0.036502774690780775,0.027722252650267173,0.043930026670324265,0.04794039806561279,0.03807463680739703,0.035983733112385126,0.037409516596433795,0.039620098545045494,0.0456013547506449,0.04851294961332467,0.06181636770316066,0.03548479279973125,0.03945977060929874,0.04042495400692088,0.041373680145281325,0.03850484675771272
55 t/m 70_less than 4.999,0.032954535522300786,0.030859401559244656,0.04085942895564214,0.029859327198986776,0.0178956527460496,0.04371130457500494,0.04497608218031894,0.04080168220000059,0.031008642150129738,0.029805823044068622,0.04045664621350585,0.049974357283712044,0.04635125359071591,0.03660413220521857,0.03046871862084421,0.05303732830488682,0.04571895904246292,0.04357741800492817,0.041036760873889674,0.037432798445263406,0.0652098955716103,0.04980454690508712,0.04319013025878289,0.0374803549988853,0.03692481954845995
55 t/m 70_5.000-9.999,0.024071461021415407,0.024476729602679468,0.033147993601778364,0.025064191442930338,0.01767020803702353,0.040344424913809004,0.035350243425096434,0.04126259670163031,0.03317943410809065,0.024837868706200136,0.02685904048117077,0.04756388689049375,0.05223755498697256,0.028223273012561726,0.028603864717374444,0.046705678194961464,0.053411123337141896,0.05887461268443465,0.04674646962082274,0.04144492884714906,0.04958791104350602,0.06492625074822317,0.05854028971793238,0.049829633762786256,0.04704033039381551
55 t/m 70_10.000-19.999,0.021853108126029565,0.02325151517726792,0.03131076065244502,0.02372356116339588,0.017573083150716852,0.037279846786325094,0.03302683105713491,0.04383631843458144,0.03602436268292858,0.02497752840478032,0.023312664771859903,0.04531330679618935,0.05362745126089037,0.02930729846213639,0.028835979189971415,0.04181566109969806,0.054615090587551915,0.06022676280859025,0.050574845555548656,0.04461103943227095,0.04518219229650735,0.061507890597359303,0.0682175771107454,0.05338369444894879,0.04661162994612637
55 t/m 70_20.000-29.999,0.024207715896664907,0.02965307769575517,0.03377179042184116,0.025821236871558434,0.01913572006703635,0.03456999944045687,0.03541463914134962,0.04096403805734068,0.03657937042760381,0.027660634981620535,0.026914496090617916,0.04544437707975163,0.05169812834823984,0.0332137732868087,0.028802510483148386,0.03909910568192399,0.041952533532826936,0.05574180388319552,0.05283025779584295,0.04728439161484801,0.040605730365373155,0.05422062332841637,0.05528527460303124,0.0706475548807822,0.048481216023965636
55 t/m 70_more than 30.000,0.02454492077806896,0.030945172749267485,0.03473879980119033,0.028503206953750793,0.02258468412729113,0.04052547866188366,0.03662725699313546,0.04231827440000385,0.038704594502670484,0.0300994010463736,0.02640693276014788,0.04800080889937596,0.05098730589395141,0.02881684625778792,0.030870425312555336,0.03810874118566045,0.04157281163863428,0.05292550026212295,0.044496528784292444,0.04482395120409723,0.040747699694425765,0.05213726659563856,0.04916954838169222,0.04938267243593001,0.07196117068005184
