,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
35 t/m 44_5.000-9.999,0.03615838999884144,0.03542669871377819,0.04347969134143944,0.03207104767311734,0.026742346305492104,0.04405559182530714,0.04331007520368454,0.04561444432275915,0.037727338543313914,0.031194809227254292,0.036966742279243396,0.05675837577326048,0.0464563528053161,0.03800542433157945,0.03194119398293945,0.04680953226921454,0.043078489603914444,0.041826874028947386,0.04147155919388053,0.04088860681763442,0.043961376162599895,0.042099321733144575,0.03832155450129123,0.03715803277055549,0.03847613059149121
35 t/m 44_10.000-19.999,0.03191686302477265,0.028952461790801107,0.040162228368204364,0.03392946047570478,0.02524859250630429,0.04453067311109484,0.04083558536408328,0.04709236476346042,0.04147610192336952,0.0314403806053993,0.03083594064330828,0.044826513946467784,0.05476710868460111,0.03655250046652315,0.034320657393588076,0.04366587776084478,0.046901072813515,0.04710871191781985,0.04523178954409943,0.04290616210046644,0.03946195302765855,0.04444752022534798,0.04346877894880207,0.040579317323537395,0.03934138327022546
35 t/m 44_20.000-29.999,0.043289393161569656,0.03967853246888722,0.05014934133840138,0.0402321832813221,0.02871379842085659,0.041759393804646314,0.04710307393189189,0.04789351793478207,0.04204310357657321,0.04441318452165539,0.04015743399206065,0.04302336295611304,0.04288308343270401,0.06425230725981886,0.043894534207144086,0.041419679576401754,0.033962916187104626,0.032109816817117096,0.04052867816883561,0.04034710000499745,0.036906599109071146,0.02887361743254369,0.02854941934593146,0.03112994091891402,0.026685988150656734
35 t/m 44_more than 30.000,0.03654209573557739,0.041277739142245036,0.04484315396278878,0.03967010043125758,0.03739027828465546,0.04520329108841065,0.0409924682026723,0.048596646073583515,0.049179351858152885,0.056349824616940505,0.02697321933942187,0.03808531618238625,0.042410379840678115,0.046233640888095784,0.06767626433995898,0.03461207070172921,0.036854280084199637,0.03426567922529496,0.04095827586872767,0.0402539415736373,0.03259510751315966,0.030805924784779882,0.029606329847509497,0.028596016042646503,0.030028604371490533
45 t/m 54_less than 4.999,0.03769266718144868,0.029479280658970916,0.04325512033683422,0.03298096518331773,0.02154993539208691,0.048254591153664705,0.04768429974538113,0.044256398181813865,0.03281829762156682,0.029321500693416772,0.04087354357655356,0.04978227771541232,0.04812744445158712,0.03891243676656884,0.03087177673186878,0.06036294507643446,0.0453119467588675,0.04240182948002862,0.0405738861551205,0.03726880738841607,0.04950124801042918,0.04399701194499726,0.037730079502684026,0.03420454951993235,0.032787160772597614
45 t/m 54_5.000-9.999,0.028475583972667258,0.025788055569757724,0.03628196989546263,0.028828427105966767,0.024012182087090328,0.044667703071960295,0.03802061604992855,0.04807737399215408,0.03828059962164686,0.027886486289619785,0.028637200438608408,0.04701607130771342,0.053049194075967414,0.03274402576191038,0.033733964335884346,0.04650055412883359,0.061946365046724454,0.051142923239937646,0.044916202967061995,0.04041385369836438,0.044050137424776974,0.05135795493447612,0.05003604422009642,0.03755787211141134,0.03657863865197878
45 t/m 54_10.000-19.999,0.02470280227287695,0.02524316279593611,0.0332417586370364,0.02780614900575976,0.0197294451568668,0.0398557038209462,0.03546836540866499,0.04305213149870336,0.03773852684664792,0.027439461130128597,0.025916770283424997,0.045579417137831556,0.053201604890415186,0.030909531199288277,0.03131600001908951,0.04344676974710361,0.05106378915655453,0.0618505146630088,0.04775635298487247,0.04618334765854281,0.042002060884558344,0.05630477341709902,0.05487743134567612,0.04926408814914242,0.046050041889825324
45 t/m 54_20.000-29.999,0.028530949644873543,0.03189131558836962,0.04196415390044196,0.03199387931627439,0.026569464083831994,0.04087680580604662,0.03818156383297073,0.047209706473053226,0.04273965347604854,0.03516379735515661,0.028618914013413887,0.04316678301971752,0.04879251857831159,0.03726516011925963,0.035754817716869114,0.03971051004786919,0.04283674743674781,0.04561599111332158,0.05907847544631155,0.046814415918406946,0.037871131572512075,0.04309690280513535,0.04432503684637022,0.044693773119223436,0.03723753276946274
45 t/m 54_more than 30.000,0.029408533258010034,0.03487326225244993,0.04019291261646729,0.03640684701292663,0.030815489826732108,0.041185537302347856,0.03578472077303521,0.04716522045783029,0.04654589977359558,0.03665736620943736,0.028146748734925234,0.04379150737756584,0.04762307077699818,0.038171667971469224,0.036156765630648534,0.03753121422714134,0.039658106780659,0.0453899425071066,0.04816902658189911,0.060787955982433486,0.03567528072106213,0.039504010970954524,0.04043130306558548,0.04134192392041444,0.0385856852683047
55 t/m 70_less than 4.999,0.033245276892831147,0.031213297627648948,0.040868069562925206,0.030241449840387718,0.01849841383028446,0.043603098793287234,0.04481375204324936,0.040812611872108266,0.0313582173295056,0.03018941961083613,0.04048118764269134,0.04958521906316549,0.04612853665084357,0.03677275904564247,0.030833793245129276,0.05249967850402169,0.045524203527768,0.04347486063632216,0.04103835258269551,0.037571693861313094,0.0640192992589007,0.04942343757691868,0.043103823179527614,0.037617522607824104,0.037082025214172185
55 t/m 70_5.000-9.999,0.02461272796985602,0.025010455282590684,0.03346373745754618,0.02558652077043116,0.018291609345045746,0.04041092424525404,0.035595560567653124,0.04129354427261988,0.033494211399777915,0.02536465298095143,0.027343271074824028,0.04733061486070046,0.05178747405536536,0.028675399474574786,0.029046571567889593,0.046510367184675216,0.052904047637558925,0.058089669249533064,0.04654936780659117,0.041468722758303184,0.04926279392358688,0.06381121389250573,0.05777291939126882,0.049493335194536935,0.04683028763635953
55 t/m 70_10.000-19.999,0.022438351512661447,0.023815240763945665,0.031691621905498006,0.02427926810555042,0.018201198392052226,0.03747171853909937,0.03335752634446406,0.04377824290416839,0.03625926317646568,0.02551016686108782,0.02387537262853904,0.04519352494801767,0.05312765957739917,0.02974209863948609,0.029282709067832518,0.041838909563620914,0.054066741665530396,0.05939002590726729,0.050220714027351315,0.0445208303387815,0.045067963482241194,0.06060247554417565,0.06693650883685782,0.05289578143044506,0.046436085837461276
55 t/m 70_20.000-29.999,0.024740389896288267,0.030061409075491312,0.03405976318859997,0.026321612204303808,0.019740975199187546,0.03483232150441164,0.03564904462049492,0.04099654591880069,0.03677401037343401,0.028119401737320193,0.027390734210763358,0.045292618972308775,0.05126129836920034,0.03351924657496421,0.029233030069867598,0.03920289449604485,0.04194593028040945,0.055105101950273405,0.05233863835426217,0.04705197119353632,0.040652190668310995,0.05366046026699788,0.05467171018942191,0.06918384251554062,0.04819485816976584
55 t/m 70_more than 30.000,0.025062991015859085,0.03130776202247462,0.03498417075999836,0.028931846939590295,0.023138035525136103,0.040561789261131985,0.036808199936148506,0.042283152245926006,0.03881034462708776,0.030485744235543993,0.026885808706234336,0.04772064024860863,0.05056786789363237,0.029237443259166603,0.03123515034569004,0.03823650777170662,0.04156775230149519,0.052412097768663894,0.044370717289122084,0.04468415070927367,0.040775318251011,0.05166240855490935,0.04883569565947864,0.04903891557971008,0.07039548909240077
