,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
35 t/m 44_20-29 km,0.03645255618909395,0.041783048217059866,0.03364924310603204,0.034362938315238914,0.015164235995897425,0.04316881184178499,0.0419423939558192,0.0383253820807588,0.039669225183447614,0.035656019321304924,0.043372630197645375,0.04291423228817028,0.05824335841479155,0.04231779099470368,0.043090099203681245,0.043352008395967714,0.04587967752893172,0.04292281263870987,0.04759440386987243,0.04130314470612907,0.03902110964951198,0.04104446778760021,0.04129855850065654,0.036389753623099444,0.03108209799409116
35 t/m 44_30-49 km,0.03239247603963841,0.03665624071602624,0.042981379422946844,0.02747063215928266,0.02288079682617104,0.03662888308868011,0.03669001237000155,0.03879951718668672,0.04682978361302663,0.031031989056521443,0.04696560813703571,0.041897032007821196,0.045645403430306423,0.06282326013453358,0.03341529412285534,0.04356322906685619,0.042497199241900034,0.04004471884879284,0.045277888016129045,0.0429844807362234,0.04611030575096666,0.04555918424858941,0.03900317306804969,0.040225700992281906,0.03162581171867689
35 t/m 44_more than 50,0.038806283144481535,0.047105053592466625,0.033401665129697146,0.03356434241589489,0.014496525678826836,0.04589796641471372,0.0449350916781283,0.03635246608863883,0.03694195353258137,0.034223749416708624,0.03811460285360505,0.041142792409514024,0.04949676282762759,0.03558529167533908,0.06690301835033043,0.037997857052207464,0.047231801410037,0.04578958882914959,0.04668919234565748,0.0400051857047743,0.0361975827214788,0.037917357733574325,0.04542720564308628,0.03525089878695851,0.030525764564522207
45 t/m 54_Less than 10 km,0.0414277119101739,0.03450438878753782,0.0341069490843332,0.025681532290845334,0.017430757811236135,0.04629665709207021,0.03802967598501676,0.03921263859390139,0.04043558381696054,0.02573990570884972,0.05372965599025344,0.04078335243252691,0.04506293570845867,0.04198133667514363,0.03438508176425036,0.06054198669915808,0.04787512866333186,0.03816122157115018,0.048679638136739846,0.03916219030673098,0.04849673054973548,0.04745537878072631,0.043779969157100716,0.03454195793154717,0.03249763455222146
45 t/m 54_10-19 km,0.033422833140107924,0.034899547048193306,0.032618207330424816,0.029334918937410005,0.014182101368145374,0.039782621918867216,0.036881059428347164,0.03249784947654524,0.03780125546746338,0.02831239080066512,0.04315539848760211,0.04270065805540008,0.045304850531193194,0.0389054634954489,0.04060313364890271,0.04548037534315545,0.05751362671964895,0.04573227721695496,0.04972432962903864,0.042872186615361636,0.047038939318516104,0.04974144605625067,0.04762459887958055,0.04273606217892476,0.04113386890785172
45 t/m 54_20-29 km,0.03508104741173481,0.03895528940880409,0.032361659824831,0.030645209498502916,0.014416676711630504,0.03881755035543642,0.04123009099194416,0.03368531282729295,0.03690991339515077,0.02940548913184117,0.038454615306800055,0.042795907152591094,0.04605643649998067,0.03983578210129197,0.042772989125958324,0.039392556732046634,0.049693620851480706,0.06249547439855491,0.04984719469730258,0.040453250177250356,0.043680818236215,0.04639849467489093,0.05015493747299994,0.042076617911305236,0.03438306510416294
45 t/m 54_30-49 km,0.035764047341656016,0.035612680037778,0.03444693124863718,0.02856910262186369,0.01498312760778654,0.04058448033156572,0.038962582930916,0.03363640696312313,0.038220861837803495,0.027552862173414613,0.04590233341346861,0.043185006738261714,0.04612397041921075,0.0406801826125879,0.039390169750977054,0.04538453347033458,0.048799501432072345,0.04502040064802108,0.05644392454172229,0.0444949572143616,0.04711682539653926,0.047192701031716855,0.046416737314249286,0.04129155529557493,0.03422411762635747
45 t/m 54_more than 50,0.027408485051858916,0.03291102285531386,0.03673984037367861,0.02648492987492232,0.018189266589627995,0.03611996534807201,0.03637787056722775,0.030070520930714332,0.042017405268850755,0.027723694788963638,0.046174953655441296,0.046467712425839656,0.044399971680612924,0.04283879028002255,0.037438338154487154,0.04050011800604365,0.04667140375067452,0.040527595202810636,0.049355956676275445,0.06261032864688364,0.04987816330118482,0.05029419177164334,0.04462895398748116,0.047558101916422964,0.03661241889494607
55 t/m 70_Less than 10 km,0.02990155838413175,0.03048718182753289,0.034341066629062465,0.02270649167299137,0.018192634457621922,0.035779147104285945,0.03213463124171337,0.029513066281750745,0.03934826332856491,0.022868099855486,0.048767724835291265,0.04303813998091828,0.04056491467628019,0.04444008621993348,0.032759043930560255,0.048501274792671835,0.049520398009795706,0.04231940535511606,0.05054243710100953,0.048234949706585435,0.060547659607255014,0.05580836712015735,0.04925907037882782,0.04764037788145498,0.04278400962100146
55 t/m 70_10-19 km,0.029959879493242466,0.030920025397486388,0.03465231137867134,0.023940386232434246,0.018065148161400795,0.03522561914546603,0.0327889051232425,0.03255345203545909,0.0384953707557313,0.025454440494913452,0.046019726570530974,0.04237469365195387,0.0416497701561209,0.0428607591631771,0.03349629279163766,0.046326892053815336,0.051115432750835604,0.04387930208294023,0.049415366592306186,0.047476231585968844,0.054476142188292345,0.05910230103725439,0.048062424952819226,0.04707937063559443,0.04460975556870526
55 t/m 70_20-29 km,0.031831198824416526,0.03607825472853203,0.03169145674975835,0.02633700682825151,0.013375663879735315,0.040001554177775865,0.03537878733034495,0.0317861698818394,0.03595099858499896,0.02355726870984175,0.04194129925465185,0.04590268542198404,0.04331825191504981,0.037928171749831895,0.04148133740146467,0.04417750875179633,0.0505874764336989,0.04902838218711785,0.05023886811827127,0.04354649081061156,0.04970170524806433,0.04968024489639236,0.0610917321036851,0.04488704061449728,0.040500445397387896
55 t/m 70_30-49 km,0.02532299998854338,0.030713287380427806,0.03542294833442081,0.024570983983054285,0.017858250160542686,0.03224107168430089,0.030157737817285698,0.026797552427633216,0.03950141040095159,0.023312707752441483,0.04306782241562221,0.04906726036835467,0.04171428118517239,0.04274991046991982,0.035178437144706295,0.03809275126330798,0.04961075158037881,0.044951512941880586,0.04884229890594825,0.050714317832501396,0.05253272087757945,0.05318367172838119,0.04905582604269604,0.06676549270564847,0.04857399460830069
55 t/m 70_more than 50,0.02371497258495352,0.02818932454819947,0.031032074963068167,0.024116077692025874,0.01720820197589593,0.029817717630831016,0.028141628810973464,0.026942933743297426,0.03670929629227617,0.022003560391218386,0.040935000881316685,0.04063174432044916,0.04163542686149145,0.039275372860276915,0.035597536518692775,0.041878796029466946,0.05579919206623867,0.042923499864758234,0.047305775097709,0.0456227589246731,0.0551293951909725,0.05888769554686237,0.051722137694599324,0.05676110838601249,0.07801877112374096
