,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
35 t/m 44_more than 50,0.04160605205627078,0.0369766995488056,0.0329730598704683,0.0334906936848195,0.04338333193469896,0.04718563736841544,0.038647056867601816,0.04269990923229837,0.03383031419956456,0.040642518774961035,0.03558433495572005,0.034340939039684805,0.03546109980565311,0.04832733875074876,0.061767883188047004,0.03281132645744598,0.03457628395898626,0.045326755519402476,0.03554133246156215,0.04078172715925252,0.0323573588075636,0.04117019402858477,0.047055629110372386,0.040487415184392334,0.042975108034679424
45 t/m 54_Less than 10 km,0.03311169738476989,0.027573176432318876,0.02802414912525077,0.03704731997594067,0.03711875412870096,0.036813388393211,0.040397750984161096,0.03127005191835368,0.04754112485575393,0.040966949847460285,0.05268058709449771,0.0381328416311631,0.037063059518592636,0.040102936183190996,0.03245978081016278,0.061106092494981994,0.05020182971033051,0.03769693151602209,0.03519786469932001,0.03312422138310176,0.05542490022996774,0.05045172182572305,0.041440551852159724,0.047867100303005054,0.027185217701859745
45 t/m 54_10-19 km,0.027130188145071486,0.025792930137517812,0.02430272524959953,0.03816750790034433,0.036565438106464156,0.0353723616777168,0.042816030267154505,0.03080564278141734,0.04142299231714729,0.03995250514409268,0.043902651485021746,0.035081368028464316,0.03948454086008754,0.04592870732119136,0.033826022031587834,0.04964441099808013,0.060427597715294774,0.040162776097456936,0.04204808858687591,0.04249224812433194,0.047795151855492164,0.04973672500321807,0.04222089947171464,0.050960182667480466,0.03396030802717612
45 t/m 54_20-29 km,0.03556515613865116,0.03309013525087177,0.030112831255008944,0.03043281227200745,0.041468679291814525,0.039652656156675486,0.04316127332854297,0.0412424353747324,0.03520817109044366,0.0429366497645081,0.03577236312269842,0.03654686822200419,0.037280119098308716,0.044012872031253855,0.044738842788179946,0.03761095133551291,0.04052109996155075,0.06096672006726342,0.03682878174183739,0.04123248067456452,0.035766114489597885,0.04379683041838377,0.0440201077872206,0.04546635421316321,0.04256869412520401
45 t/m 54_30-49 km,0.027743622700519038,0.029150600063912294,0.023255521184547972,0.033691912869944815,0.036910549724970876,0.036035419114524,0.03824298974619461,0.03237649154130462,0.03444624214726222,0.038248596253588577,0.034461911098332215,0.03365037954763179,0.03906114312483796,0.04997471170884758,0.03808449179723837,0.038124923557939554,0.046056200420994266,0.03998266140201622,0.0661876828380609,0.05069524361851817,0.0400962785978044,0.048785860591276015,0.047032663803999425,0.049661005108073815,0.04804289743766029
45 t/m 54_more than 50,0.029003098216347535,0.027196905910034784,0.021803907153127886,0.02766871213522033,0.039825025873875375,0.039145030495328574,0.041717541075124806,0.038475982806122994,0.030115129657778066,0.0357729927954146,0.03209066757365034,0.03229199920930903,0.04151201598567174,0.051457716276388704,0.04335210592403628,0.035593317445539244,0.046172318412090456,0.04440725571748069,0.050291818525644044,0.06566097125349886,0.033103511374865315,0.04588919928803287,0.04655016882305312,0.04809740634189077,0.05280520173047355
55 t/m 70_Less than 10 km,0.030543243733986734,0.02740317725968283,0.029641778768994303,0.04210151173247207,0.03583647591724006,0.03532550644641983,0.03712210076424219,0.02949231888871851,0.04852787190092152,0.039866677568442935,0.05258540889318683,0.036343884410015855,0.034979917321389276,0.04002314898504762,0.032763085160679384,0.05672765758678337,0.04946784148909186,0.03669047846895894,0.03788796973290723,0.03153125120248704,0.06254238577135765,0.05077029268391808,0.043233921973969074,0.05075794545854324,0.027834147880543655
55 t/m 70_10-19 km,0.03183820359532935,0.028331783729364814,0.026526059735618075,0.033669824509617856,0.03503127835124301,0.042581319808742836,0.04033181403801101,0.03650785844510593,0.03602375659258561,0.036515154338940224,0.04561637541798455,0.03666646693975446,0.03710336317975493,0.0437421314794782,0.03779361053885655,0.04681550011198955,0.046670240991997944,0.0407331539195039,0.04179410033734801,0.03962792798463687,0.046029198301914785,0.05670197520560192,0.047326325323841165,0.04926766591074854,0.036754911212029964
55 t/m 70_20-29 km,0.03491619700734083,0.0326362852862277,0.03258085696240155,0.03242321608342256,0.03763343522079141,0.040403632904629214,0.03779511936588442,0.035220939568690005,0.035004105338208386,0.03907625746994522,0.03854650632942393,0.037341003309788776,0.03790673450138068,0.04566924877889608,0.04416406384186185,0.0393152625349188,0.04050534307910535,0.041857996132242364,0.041194815546902346,0.04109927121675381,0.040074706787220214,0.04838656140896202,0.05797225088830578,0.047844874676580024,0.04043131576011657
55 t/m 70_30-49 km,0.027702165708478915,0.02644361542473909,0.026635988079488318,0.03446146172469169,0.035169607601638286,0.03569613304713892,0.03936257842317302,0.03198175470500782,0.0407659544894164,0.04160057713544077,0.039988751078649624,0.037426341061848986,0.03973116195208433,0.04572457319847956,0.0375020208008053,0.04481773906070851,0.04824951853354049,0.04266724849332244,0.04292750675902128,0.041909424041570206,0.04643301967046774,0.04971198871117415,0.047218544460319124,0.057213344679825785,0.038658981158969145
55 t/m 70_more than 50,0.029405173435208043,0.026659884211096836,0.022361589770146746,0.02716862664030501,0.03641985471845637,0.04087717761389276,0.03540548609454694,0.039061574773355597,0.029232799734115997,0.03911786578387902,0.03085553441400436,0.031870506344534894,0.03690863967206523,0.05302835413709403,0.0490614260099388,0.031371422397553396,0.039629829109991986,0.0492360727372174,0.05118443604799671,0.056709433872033796,0.03138263418409986,0.04570914506492362,0.04917944462078307,0.04764737453065728,0.07051571408210228
