,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
35 t/m 44_less than 4.999,0.04807445700553759,0.03183097335378649,0.027217463115556104,0.023459807146868242,0.03718270771102049,0.04269124370834967,0.03958347897172174,0.04467307228532551,0.03652110171362135,0.03710520629414315,0.06535443793521095,0.03737948324176662,0.042555253958077806,0.037935364907209876,0.03256870685914963,0.056191101280597386,0.04299865805669076,0.041253792196480565,0.044730416691407746,0.03616409394303448,0.05048977325816924,0.04326040466841448,0.03708979578219982,0.030714539308092495,0.032974666607568
35 t/m 44_5.000-9.999,0.03544407245504585,0.03641666876471645,0.030835191058755623,0.018811439476546298,0.03345902895327927,0.0373015505911419,0.0380131641732647,0.04470288682834903,0.037570028796466426,0.02711670593218958,0.034075908075663575,0.059578453907798215,0.04956979776423399,0.04221286701861993,0.04912856656397745,0.03548186355764119,0.04381511256758177,0.04702391697846645,0.04689848440594124,0.044289159526031845,0.04054498331184813,0.04404766290992216,0.046876658747760154,0.045298932998460925,0.03148689463629796
35 t/m 44_10.000-19.999,0.03892798800152245,0.03899707980315267,0.03576282289427788,0.015238701997168036,0.03415066716493315,0.04226114128314616,0.04071165909552643,0.04895315615033758,0.04004529734380789,0.029947543754567294,0.03561043029866644,0.04550163863833991,0.054688891272815086,0.04331792024180155,0.045081825755287894,0.03613450284242186,0.04701935000552735,0.047252894223478566,0.045476640147273956,0.043553557515721014,0.04014933311895753,0.039872959312062486,0.045724385317342256,0.038290382262657144,0.027329231559207308
35 t/m 44_20.000-29.999,0.043282959391889544,0.039235756273017536,0.04223689852142461,0.011715245679606773,0.033159015937929005,0.050220302003182046,0.04535462589790517,0.04767888958098862,0.03911913781415102,0.030049547400922666,0.03555471377360279,0.04339939002078604,0.04851728424479053,0.06125309036316891,0.04175371951351524,0.03802257603150839,0.04702686276313189,0.04612946367360504,0.03872884215457424,0.0423717449843115,0.03721398131601011,0.036934776347310634,0.040619464636008726,0.03350905003715927,0.026912661639499742
35 t/m 44_more than 30.000,0.035469186098904856,0.04103299630484698,0.03363081006710086,0.014695856482639212,0.03240683366033043,0.037394582507199264,0.03820093156055973,0.04655138367164458,0.03972738366222167,0.028895815146259895,0.029884837126630526,0.04945045886906194,0.04943423743846839,0.04087828118453668,0.05996881428675976,0.0323641487725644,0.04514817580448803,0.04932017015251007,0.04583072538942571,0.04634524986799292,0.03876045806007198,0.041915571254485966,0.04689306033824592,0.042784025954965645,0.03301600633808473
45 t/m 54_less than 4.999,0.04962846159437588,0.030888722873585,0.028919604475616246,0.018775431865685407,0.036256731805909326,0.04518186490431892,0.0415275937651012,0.044956739895074954,0.035714157083768,0.036544045990960665,0.05524186456752846,0.038264237334355744,0.042452066308385966,0.03988314534090173,0.03467485038274929,0.06425040490442378,0.043003769407992797,0.04213656727443553,0.04285242828862176,0.037506175301276444,0.051804837338182676,0.041406811589833045,0.035543709839265226,0.0282728073123312,0.03431297055532076
45 t/m 54_5.000-9.999,0.03995234696072678,0.03720231015952874,0.03650201973338074,0.011602520138317805,0.030802959415091372,0.04517602404375675,0.04262687869161137,0.047460122970800704,0.034202779010910817,0.026620497334962637,0.03784535939164307,0.0423026446125172,0.04945501274701288,0.04416221200702672,0.04330594912497631,0.03850024306523182,0.05752184610589318,0.04810927706789339,0.04349079258826185,0.047405246668252826,0.04406810056637076,0.0422797125588628,0.04540024147286226,0.036208012270579175,0.027796891293528
45 t/m 54_10.000-19.999,0.03710339216107313,0.03431052370720249,0.03324929386558654,0.01423205370813802,0.030125419230631126,0.03929372176917011,0.035910455932754055,0.04420107521400978,0.03524774684868901,0.0273689550117489,0.035160048806608196,0.043963296503901794,0.04812713087901576,0.04194798239991182,0.045809946105641396,0.03652951951775677,0.04658613615197472,0.05570070301867905,0.04508940408298292,0.04455266615430667,0.045451795687122085,0.048505198892172245,0.051765681999705826,0.04515219514440732,0.034615657206810306
45 t/m 54_20.000-29.999,0.03880598792077565,0.03528640552775863,0.02751183127847302,0.02035893999012251,0.03325527643286835,0.03703770410025533,0.03539573618637563,0.0443603392533514,0.03576966088054331,0.03203668868226197,0.03983388676103623,0.04581359831533773,0.04839651358000987,0.03679860312195923,0.044479110505689284,0.038817216726942376,0.044003713770615745,0.04711277044138764,0.05820024655711367,0.04370043347315694,0.046045250258126315,0.04548308441061933,0.046237418169002086,0.04160437432190481,0.03365520933431294
45 t/m 54_more than 30.000,0.036391687625408516,0.03417691679628057,0.0307449879336971,0.013006384141479579,0.029088263395404743,0.03597068193684781,0.03996279137227617,0.04447258000257188,0.03277178015532357,0.024852853350037164,0.03434054992326269,0.0461331331336967,0.04942301738742272,0.042929228717572765,0.04796058887024178,0.03622693993730422,0.051144429164326995,0.04963839867021973,0.04659782662564017,0.062058995371378795,0.04345436899434884,0.044992815494569266,0.04922555221389492,0.04065033330387936,0.03378489548291398
55 t/m 70_less than 4.999,0.0422540387316416,0.03054147257071887,0.02885623496396241,0.01729160234396163,0.03074600982387369,0.03853854528575067,0.034907756223522546,0.04188263361677945,0.03208404871503343,0.030787030061834544,0.04636809228235357,0.04084498951301902,0.04406259887944465,0.036464395828744584,0.038793086118736185,0.04839331103332801,0.045981423039915835,0.04897576867084928,0.04748439455939876,0.04202614927598114,0.06001929526888692,0.049928030864047415,0.045606613676524736,0.038069626504779464,0.0390928521469116
55 t/m 70_5.000-9.999,0.034677431699649396,0.03002519582999473,0.026536417650486237,0.020373200303743372,0.02957863016901299,0.0346481912099468,0.032531998783375184,0.04083583162905597,0.030580004979058734,0.02664565643255705,0.04035751648901503,0.04507571048792588,0.04445169132476352,0.03676346251169522,0.04261464418841296,0.03929206560592035,0.044813426239677406,0.05309291279437931,0.04764683124992201,0.04420255457862732,0.05071804276133422,0.06096898137724362,0.053094617337784984,0.04854788200697297,0.04192710235944468
55 t/m 70_10.000-19.999,0.03329435140607794,0.03216315448625193,0.031744307559267965,0.0145109016121494,0.02940801823252712,0.035255518772524294,0.034506029486669657,0.04227562983020701,0.03245485861743987,0.024649415647904478,0.03372288442817592,0.04675335443486183,0.049681432886662935,0.03940501946516369,0.04646527059771194,0.03287246275608425,0.04689976892583676,0.05522384221788045,0.0472078375618333,0.047133665131975734,0.045152550918766424,0.05174720673053986,0.05942173880653267,0.052391077863571306,0.035659701623383194
55 t/m 70_20.000-29.999,0.031882930046515205,0.03098690982607633,0.030407077869861823,0.018363514422074678,0.030981388664551884,0.031438343677879343,0.03249035935097765,0.04021186947518551,0.030998667391944013,0.024824877213167545,0.03179255031447351,0.0514345789730664,0.047363853458584314,0.03700756893703478,0.04826281316232112,0.02976798992310837,0.042582221385591756,0.05483712001467308,0.04835825446747219,0.04431143509913582,0.04290858271448818,0.053866380446466876,0.059644228178767474,0.06764823120045585,0.037628253786126276
55 t/m 70_more than 30.000,0.03472422769672764,0.026041159617573615,0.022112910695614604,0.01778642390461946,0.028270627927879627,0.03199324914573138,0.027261056528371838,0.03713489072541034,0.027689235734385313,0.02806039204298255,0.04131628389365289,0.04327693803362566,0.0409208103246366,0.03597862568116724,0.045083227634479923,0.043731902607864234,0.03957121056272755,0.05088945835445674,0.04735255261440338,0.04457935314466052,0.05333623907428912,0.056312114221397806,0.04914148458006302,0.045548443691249996,0.08188718156202893
