,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
35 t/m 44_Less than 10 km,0.038281564545924344,0.03679373167360941,0.029610801646062536,0.026119577659399068,0.022326368492684257,0.04949964073160361,0.04754422435952837,0.03835264716957185,0.02872022023145461,0.029734840489791425,0.06788745006188615,0.05074223297497339,0.04439560493869174,0.033819745294403174,0.03158295316124872,0.05480639821749213,0.048887120499512444,0.04575914995233192,0.03462356651058715,0.040017238987908856,0.047767708656653564,0.04811313781567445,0.04293371870858229,0.04248302621406621,0.01919733100635826
35 t/m 44_10-19 km,0.03378659387016543,0.035842716947924944,0.026294583734040148,0.03176948402530684,0.02967748096790994,0.044654668011214704,0.04461772006686043,0.038077189822838274,0.031029833622767733,0.035146411198101885,0.04264856814005874,0.0570590289403933,0.043661474596280156,0.036799993541775614,0.03447584717451493,0.04388187859233586,0.04792773530887567,0.046520831595517564,0.043072778656716125,0.04370826883147275,0.0439599603609591,0.04586209981637856,0.046243071143465,0.04592761404273372,0.027354166991392596
35 t/m 44_20-29 km,0.04033320729198308,0.038751285998634234,0.03343365124810943,0.04143205728996681,0.03144648812235526,0.044636450341412774,0.04732558895754419,0.046425999306397014,0.04114434523416082,0.041302899698931736,0.0377828579896311,0.04420977931955348,0.05777558135559901,0.04329441546435978,0.037652757055074565,0.03820681128102216,0.04241543577734318,0.04030045522120404,0.04106166740348552,0.04366419430656289,0.03513286251805135,0.035618596816642895,0.03735169705335895,0.03818442086885781,0.021116494079757665
35 t/m 44_30-49 km,0.04437331889019223,0.04369807610388017,0.04670579754494254,0.050176536885040986,0.04029618247694296,0.03984686894288384,0.04791750537230963,0.04344346716882998,0.0523396506457525,0.03762214942966445,0.031383184527643646,0.040629318748734766,0.04720670962052595,0.06299646416189734,0.0428772998409777,0.03353287881943403,0.0387472060721331,0.030610104667865994,0.03609758853008649,0.04411873072021912,0.029889409951647836,0.030828795888639404,0.03283684996442187,0.033661340887119584,0.018164564138213896
35 t/m 44_more than 50,0.03650446652055632,0.033740136283878605,0.03545895115628796,0.041023699893918436,0.03472029629797639,0.03808571345806674,0.04188901797538866,0.040329840071001495,0.04758071686646911,0.045457894100698656,0.029917937262667893,0.03885607938776436,0.041910309225163735,0.043770313905161215,0.06430850406877234,0.033245995284100986,0.039632485958011034,0.03717879815907921,0.04345770754533467,0.05039223025909047,0.035724234222851134,0.03800960280601604,0.03902667942004274,0.04161909838486842,0.0281592914868333
45 t/m 54_Less than 10 km,0.03366181720451268,0.03948041716732295,0.02493379125661964,0.02638479402815183,0.0251024358157695,0.04981608418313181,0.04460773224374363,0.036667569992254435,0.02710216338091133,0.03259439126193254,0.05094262840214952,0.04852889676749067,0.041728815028009784,0.033588781438545344,0.03262199485546399,0.06310148548620312,0.04949211100668394,0.04602650498646161,0.039059612881997434,0.04008286270433011,0.05160393929852639,0.048002433007566195,0.046963547588485574,0.044992306168783,0.022912883844952874
45 t/m 54_10-19 km,0.030461372788610896,0.0333790240252785,0.02522237887281368,0.02937158921048243,0.026628215990659614,0.043152174731455696,0.04203800513417814,0.03696553904147226,0.030489435569493,0.03577051846887497,0.041820174453550074,0.04878018135655137,0.042634432642465886,0.03571947746985762,0.0357901720427389,0.04554883505001546,0.05807388481436664,0.04744666178109187,0.04495879923594371,0.044144403864981877,0.048874217872046696,0.05004708827608385,0.049012078272677055,0.04486850868241985,0.028802830351889963
45 t/m 54_20-29 km,0.028368971049353625,0.02925948883926915,0.019756199836948093,0.026644125128136836,0.02251387798770771,0.042628060072709396,0.039904363572790084,0.03743975032113273,0.027030869476201782,0.04062255034522379,0.04090264737706065,0.049475029227051326,0.04232808239821093,0.029485711144746768,0.03508244925850637,0.044262035401131945,0.049577856888269434,0.06068243037953629,0.05009858312263247,0.04446089555223647,0.048661059496334653,0.0498957567582564,0.050281800759083194,0.052737717755786444,0.03789968785168342
45 t/m 54_30-49 km,0.03003816085924325,0.030194620104691868,0.021219104230511744,0.03162418448224365,0.027896798794781345,0.0379666418846566,0.041094413403404896,0.039716491154688616,0.031242276213527615,0.04752652320606561,0.030446067361214215,0.04506375857083577,0.04242688582129009,0.0342066791788111,0.04034105987958747,0.036951940507673774,0.04621497508104861,0.04928461583246744,0.05969650402517707,0.04971309901393549,0.042572270261191675,0.04335651069732913,0.05006716146309086,0.049886253440069826,0.04125300453246238
45 t/m 54_more than 50,0.033183164350786734,0.03410519513880587,0.028719597277423212,0.0355010261793555,0.03102683774835606,0.03622869285089979,0.0449095686468822,0.041407780689503966,0.03999720126877648,0.04336025843088427,0.03374534093134706,0.04385260780090627,0.0432650611993341,0.04009249011570425,0.044859183871878074,0.03636430934180715,0.043516200905978374,0.04194415363960871,0.04767362040073363,0.05724745647720307,0.03904939917638589,0.040182747752524665,0.04273428882686476,0.04499052401759328,0.03204329296045677
55 t/m 70_Less than 10 km,0.028197441095449118,0.03148197983153371,0.021007366159187444,0.023944706364933576,0.022700323508023115,0.042401583750607985,0.03904056268717748,0.03191714070665691,0.02569044087518193,0.034781452182425225,0.04429657678252886,0.04850183482184102,0.038281986386639225,0.029869394571374955,0.03497194392295079,0.05148355466181981,0.0529814932067238,0.05048284788242394,0.0448955363671497,0.04294211324989305,0.06295427871266676,0.057480724148629606,0.056417492424130064,0.05035900044770542,0.03291822525234645
55 t/m 70_10-19 km,0.02731415157118545,0.029369612755337633,0.02192063221071366,0.02512530803079977,0.022585423143739677,0.0407350461807,0.03804791637235494,0.03264851300615186,0.026698435349991428,0.03571939350941095,0.04394234748805274,0.04983547796683483,0.03822447695123718,0.030342367012647385,0.0366466257580398,0.047166400679577336,0.05343268592399609,0.05098116042388233,0.04503130093346134,0.04352036253788102,0.05661168055050345,0.0620024811544379,0.05521874456485751,0.053056014528775966,0.0338234413954297
55 t/m 70_20-29 km,0.029380489165190017,0.03120247093252225,0.021725205232361523,0.026364507781495364,0.02361176546422065,0.03965255100268285,0.04045067634548066,0.032199301518323516,0.02712398500875649,0.03852264444731649,0.037910037313399064,0.04858111682247645,0.03875352537142076,0.03124571851713869,0.03637796454813894,0.0446135224480517,0.050590321717242516,0.0496698739854467,0.050274675150188526,0.04474716104470391,0.05371971852858126,0.05338541966395216,0.059943928510510384,0.052597002220939465,0.037356417259459665
55 t/m 70_30-49 km,0.029442813906633163,0.0300869523139775,0.020974194871492626,0.026496111459201832,0.023192636653594705,0.03938084105173397,0.040679830955922286,0.034796308894879543,0.02832819376406469,0.04100264418892129,0.037474452551250904,0.04820131159459797,0.03957776194842121,0.03199812905623751,0.03875552357046126,0.0426980478072425,0.04626686829593319,0.05204364589832776,0.050042769676265385,0.04706241443383919,0.04790283281964622,0.05124304188989517,0.05254424286669184,0.05988379955209569,0.03992462997867296
55 t/m 70_more than 50,0.023493829040051584,0.02075171508233711,0.013533955609097047,0.02281852306680905,0.021517477677829543,0.031672256498011434,0.03336844457977623,0.03334349900981535,0.024375745428482982,0.05120981764098592,0.025760647660040756,0.0436721465129179,0.03329529840590115,0.02626722703706456,0.03988951325088834,0.03307848351333301,0.04518140253966601,0.056895522158656404,0.0629523731730794,0.05099015892438208,0.04763394830461752,0.04969516591737294,0.05677085523703508,0.06073471145840968,0.091097282273439
