,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
35 t/m 44_10-19 km,0.5615143808981977,0.5286030323586158,0.3603742009928415,0.6053901349341464,0.1253209353110702,0.5087515477588114,0.6110246140677466,0.40992697386108456,0.6738504952026513,0.6672345888292947,1.0,0.597457787420398,0.6800077795324344,0.5711629479609687,0.6609328043008532,0.7260190959309628,0.711788527444521,0.6227609106249807,0.7754802822008943,0.7132404567866724,0.6502575715846185,0.7725901590717628,0.7112416545336643,0.748531292137089,0.5261286474660068
35 t/m 44_20-29 km,0.4491582861941697,0.5637980712451851,0.5283342277601388,0.5791092717174432,0.23231676309343643,0.7405891581112142,0.6753189498879228,0.5756900039873329,0.593166191543808,0.6720615689779198,0.597457787420398,1.0,0.6826628622617114,0.6679283247626059,0.5633510683015325,0.6947264761873355,0.7002279103959856,0.7508215939146595,0.723553038886563,0.6567896952273602,0.6884397459595144,0.6771515185692166,0.6533785974008753,0.7355223288237576,0.5793194308207195
35 t/m 44_30-49 km,0.5169181549428542,0.6141799161525782,0.5656062748366113,0.703621676585892,0.2983767637822922,0.692452529949109,0.7224403568193523,0.6523937208579621,0.7064475172205253,0.8203229156667846,0.6800077795324344,0.6826628622617114,1.0,0.786998939988312,0.7585301422158719,0.8102385866367333,0.7266303203770201,0.8256552359161105,0.7435141429965646,0.7506676751347733,0.8224327130564635,0.7272010620237371,0.7295544547052402,0.8118431788286246,0.6869508291395391
35 t/m 44_Less than 10 km,0.4907615815675449,0.6271770602548075,0.6034575023298772,0.7773015707306818,0.3963775857273149,0.8068203228963966,0.7144584357257423,0.656001999844468,0.8189638457528362,0.7100162381968153,0.5711629479609687,0.6679283247626059,0.786998939988312,1.0,0.5376721384089367,0.7906053926296648,0.7537641588868644,0.7018021912932048,0.822626456925556,0.5251719096336023,0.7848201818540016,0.5860675235663653,0.6344047758955936,0.7711529108986036,0.5656775663002565
35 t/m 44_more than 50,0.5019388455880671,0.5010192913406246,0.46417021097888955,0.5260198111012572,0.1549252047862197,0.4745506109606464,0.5799241810292151,0.44306896989360983,0.5206882782854221,0.7239592516733355,0.6609328043008532,0.5633510683015325,0.7585301422158719,0.5376721384089367,1.0,0.6449952947035587,0.583516066805096,0.662600891341072,0.6207743232391083,0.8151362462669409,0.7228788733954531,0.700058521561845,0.7500570283118657,0.7392832664560425,0.7164525050861436
45 t/m 54_10-19 km,0.47071891694558454,0.5218346124266515,0.44892383967556265,0.6995853957274137,0.22327725244506577,0.6835566626541011,0.6653505366544319,0.48912759553717317,0.7775419839063815,0.6979693032025274,0.7260190959309628,0.6947264761873355,0.8102385866367333,0.7906053926296648,0.6449952947035587,1.0,0.8394591654818996,0.7365112019371816,0.8723887430428746,0.6812766164668029,0.8677274216124926,0.7673102493963718,0.7675316690990613,0.8722449174562148,0.6510000883386394
45 t/m 54_20-29 km,0.44498393951111753,0.4891871334830942,0.4050065276601712,0.6188673539734031,0.19851317964966378,0.6430682525785131,0.5759054450252803,0.4244110254688949,0.7112297273627854,0.7077983927491434,0.711788527444521,0.7002279103959856,0.7266303203770201,0.7537641588868644,0.583516066805096,0.8394591654818996,1.0,0.6906867404355569,0.8629736109046907,0.6528096192055727,0.7532994200469468,0.6808997121753312,0.7232191890984219,0.8059225005917572,0.5985142568074937
45 t/m 54_30-49 km,0.4062312978803788,0.5553191697007307,0.4505596687079278,0.5322200184401132,0.22728299429253734,0.6892279363128646,0.6196384213339253,0.5479257743949462,0.5934677619738018,0.701134738978236,0.6227609106249807,0.7508215939146595,0.8256552359161105,0.7018021912932048,0.662600891341072,0.7365112019371816,0.6906867404355569,1.0,0.7144030593623902,0.7569255465839406,0.7906884666852175,0.7384553316470304,0.7668636984877963,0.798740288936981,0.7540336710174275
45 t/m 54_Less than 10 km,0.4744699846531059,0.5268281960800406,0.43809014747444947,0.674922399785333,0.19703484768125581,0.7394039691196553,0.6709373520778359,0.46730639028357257,0.765444655088933,0.6859676209894878,0.7754802822008943,0.723553038886563,0.7435141429965646,0.822626456925556,0.6207743232391083,0.8723887430428746,0.8629736109046907,0.7144030593623902,1.0,0.6610040491969491,0.8308190065256725,0.7354769439948813,0.7912876700339916,0.8962246416662095,0.6397793493323428
45 t/m 54_more than 50,0.3989589077079708,0.4112172443141918,0.35258098023008166,0.45022939035881354,0.12774229124218056,0.5275127780306181,0.5208014059304378,0.37617562204133165,0.5026017328794975,0.6757543235633318,0.7132404567866724,0.6567896952273602,0.7506676751347733,0.5251719096336023,0.8151362462669409,0.6812766164668029,0.6528096192055727,0.7569255465839406,0.6610040491969491,1.0,0.7253954858716862,0.8265874852543121,0.8052968894629069,0.8089913443793852,0.7632850679911396
55 t/m 70_10-19 km,0.46319007650222155,0.5420234680756871,0.5129655056236483,0.6594092053081083,0.24849841173107787,0.7210991888667226,0.6971023416401597,0.5067437984264971,0.7137238159164151,0.7433426549735221,0.6502575715846185,0.6884397459595144,0.8224327130564635,0.7848201818540016,0.7228788733954531,0.8677274216124926,0.7532994200469468,0.7906884666852175,0.8308190065256725,0.7253954858716862,1.0,0.7961441436605599,0.8364877516094804,0.905490232551291,0.818037928671251
55 t/m 70_20-29 km,0.3973658777996599,0.42207113124691703,0.3443314673118301,0.5085551784428027,0.12619115699009453,0.5438978179507863,0.5731825041878099,0.36741589416870357,0.5573198013631496,0.6485670559076651,0.7725901590717628,0.6771515185692166,0.7272010620237371,0.5860675235663653,0.700058521561845,0.7673102493963718,0.6808997121753312,0.7384553316470304,0.7354769439948813,0.8265874852543121,0.7961441436605599,1.0,0.8131391960543156,0.8596004257665587,0.7512210090880989
55 t/m 70_30-49 km,0.39567856421667086,0.4103516370174217,0.35598353432829016,0.48078928963658674,0.1317744008605088,0.590253495275017,0.5796425804310205,0.3823334680999788,0.5751282499151199,0.6457372416859497,0.7112416545336643,0.6533785974008753,0.7295544547052402,0.6344047758955936,0.7500570283118657,0.7675316690990613,0.7232191890984219,0.7668636984877963,0.7912876700339916,0.8052968894629069,0.8364877516094804,0.8131391960543156,1.0,0.909942719990589,0.8182587329886221
55 t/m 70_Less than 10 km,0.4253646464115611,0.4850067771027967,0.43631507529151653,0.5951816975565597,0.18616964506789516,0.71203369603327,0.6334235103303332,0.4493672779501794,0.6963051570383917,0.7317698372836627,0.748531292137089,0.7355223288237576,0.8118431788286246,0.7711529108986036,0.7392832664560425,0.8722449174562148,0.8059225005917572,0.798740288936981,0.8962246416662095,0.8089913443793852,0.905490232551291,0.8596004257665587,0.909942719990589,1.0,0.7930760839707394
55 t/m 70_more than 50,0.28831266355128654,0.3688223852883193,0.35917729361952755,0.3800890065104031,0.15389100844517867,0.5317556372494806,0.468482005859529,0.3741511021043308,0.4451823198369037,0.5819666352755904,0.5261286474660068,0.5793194308207195,0.6869508291395391,0.5656775663002565,0.7164525050861436,0.6510000883386394,0.5985142568074937,0.7540336710174275,0.6397793493323428,0.7632850679911396,0.818037928671251,0.7512210090880989,0.8182587329886221,0.7930760839707394,1.0
