,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
35 t/m 44_10.000-19.999,0.649328167263451,0.26859141321105856,0.7105984573852397,0.7000996966228401,0.6178233161282453,0.8914220079353706,0.7264887290506711,0.7396366887679534,0.7660340627857213,0.5356486735702247,1.0,0.7859143119126416,0.7992012959112911,0.635395704902332,0.81845392061837,0.8601423937971354,0.8252741899314313,0.8569105240256387,0.6397200263965982,0.7965360289512692,0.824948513766769,0.6700199213144408,0.6984787443490041,0.711421777130253,0.485061159676855
35 t/m 44_20.000-29.999,0.6817216307469153,0.1778130929288483,0.6294871901497482,0.6977191716814669,0.5317021578257368,0.7692986041807153,0.6313565701432688,0.7346660784022918,0.8154398733225069,0.4810651801097798,0.7859143119126416,1.0,0.6683631779574717,0.5682342628398499,0.6691589683146709,0.7408160945592019,0.6178533925784649,0.7603405867937356,0.6087058690134725,0.6887300293441326,0.6467655469693494,0.5118296075682992,0.562419973440689,0.5835597094893268,0.4260547944759522
35 t/m 44_5.000-9.999,0.48215275730916085,0.3072404652855981,0.5889996976870728,0.5457984557098944,0.5280177479524284,0.7124684391134001,0.6015108140960225,0.6047000254123153,0.5862396605787987,0.40741549664511045,0.7992012959112911,0.6683631779574717,1.0,0.5360017418214649,0.7998207162360343,0.7682546915477539,0.7682799770043677,0.7128492733808586,0.5294380806721459,0.7265647238636085,0.7724147862110795,0.7489453547427851,0.732434519144209,0.6458764559105814,0.4770502526446124
35 t/m 44_less than 4.999,0.40387063810062723,0.3256677090128897,0.46944961956367376,0.7127696769915901,0.5332613282873933,0.6580816282598484,0.5335359153443539,0.5974206367294007,0.6437965860512387,0.5333431718406009,0.635395704902332,0.5682342628398499,0.5360017418214649,1.0,0.47421438025373364,0.6146094649146007,0.6471012525038873,0.6498423584141688,0.8377390625935323,0.5463880757616433,0.5486595957885206,0.43413177507730566,0.6249057477451233,0.7554110811310618,0.4695315376960116
35 t/m 44_more than 30.000,0.552990732585521,0.2375774043908381,0.6813408726665405,0.5745071327908965,0.5391160940892343,0.7713076448357914,0.6588068442862216,0.6285631262815409,0.6073052511188163,0.4702587421572403,0.81845392061837,0.6691589683146709,0.7998207162360343,0.47421438025373364,1.0,0.8111362166346826,0.7606314133849256,0.7444447062532012,0.5094143676038774,0.7695352343790316,0.7663237724490903,0.6817849076383456,0.6700558521162088,0.6080643170168535,0.533887794551341
45 t/m 54_10.000-19.999,0.5882534431476544,0.24645449693538507,0.6105614858650344,0.6459323727039633,0.5287597598438808,0.7855606868952411,0.6230039904972952,0.6392995903015197,0.6929930559391329,0.4712059896422377,0.8601423937971354,0.7408160945592019,0.7682546915477539,0.6146094649146007,0.8111362166346826,1.0,0.8027332068953436,0.8328784509061021,0.6270963854411318,0.8010762192125244,0.9242845155779255,0.7863545105576892,0.847812972453696,0.797814419058919,0.5943479644313178
45 t/m 54_20.000-29.999,0.4635905085769906,0.33893297105604764,0.6001143392663811,0.6420902259907749,0.561315782479416,0.7540800829329317,0.6073567472089854,0.5980999721535729,0.6181071866556453,0.525532407592267,0.8252741899314313,0.6178533925784649,0.7682799770043677,0.6471012525038873,0.7606314133849256,0.8027332068953436,1.0,0.7489648164138699,0.6273648887506705,0.7532295003511387,0.789305535498558,0.6957470757046005,0.756746357792763,0.7510718175379119,0.5527474101601411
45 t/m 54_5.000-9.999,0.6263254391171337,0.19292961798417255,0.6430907086903673,0.6838132740506839,0.5232470301475654,0.8154010783817925,0.589119258708213,0.7353678509380105,0.7803808983698082,0.44696810451909974,0.8569105240256387,0.7603405867937356,0.7128492733808586,0.6498423584141688,0.7444447062532012,0.8328784509061021,0.7489648164138699,1.0,0.6522812300012759,0.8260620608233695,0.7805910707110549,0.6020258111586542,0.708877676715252,0.7555038581997382,0.4657068472419801
45 t/m 54_less than 4.999,0.4414920300870314,0.2516697584693498,0.4605949358264412,0.7615724323139561,0.5361569059875304,0.6759708441623316,0.5331681561773005,0.632223249868587,0.6971406988913914,0.5533854108618753,0.6397200263965982,0.6087058690134725,0.5294380806721459,0.8377390625935323,0.5094143676038774,0.6270963854411318,0.6273648887506705,0.6522812300012759,1.0,0.5716749180807782,0.5193678216541074,0.38386696690390804,0.570471966986491,0.7653065073562559,0.5122003265705718
45 t/m 54_more than 30.000,0.4921484756261357,0.20151253479040768,0.5515484276635293,0.5819586771411271,0.4659435349850289,0.7157529604389133,0.5269169071007881,0.642810178216536,0.5770729132860676,0.39113014079600184,0.7965360289512692,0.6887300293441326,0.7265647238636085,0.5463880757616433,0.7695352343790316,0.8010762192125244,0.7532295003511387,0.8260620608233695,0.5716749180807782,1.0,0.7894082366328028,0.630040477645815,0.7020522900088226,0.6892622653593842,0.5354610561273215
55 t/m 70_10.000-19.999,0.5166844902963303,0.2341401625446787,0.5327622998017666,0.534500738820977,0.4760541534411791,0.6954323647111463,0.5322598694552161,0.567093779346061,0.5756209271497893,0.3898168401229864,0.824948513766769,0.6467655469693494,0.7724147862110795,0.5486595957885206,0.7663237724490903,0.9242845155779255,0.789305535498558,0.7805910707110549,0.5193678216541074,0.7894082366328028,1.0,0.8679453699158173,0.858010940003675,0.7378587150118262,0.5655489393563226
55 t/m 70_20.000-29.999,0.4164051765745947,0.2624852578208258,0.4390082496510338,0.4245110817230939,0.42250028850094695,0.5601688560867846,0.43037984417761227,0.449274911788824,0.4289568009039369,0.3254020673563439,0.6700199213144408,0.5118296075682992,0.7489453547427851,0.43413177507730566,0.6817849076383456,0.7863545105576892,0.6957470757046005,0.6020258111586542,0.38386696690390804,0.630040477645815,0.8679453699158173,1.0,0.7873593420985298,0.5914562751751328,0.49332263521970754
55 t/m 70_5.000-9.999,0.40155083706149325,0.3251998101124306,0.47336670232770545,0.5146265422929087,0.44824348738632863,0.6330774012636716,0.4711758725220184,0.5028815307725261,0.5272128121172673,0.3837472132373147,0.6984787443490041,0.562419973440689,0.732434519144209,0.6249057477451233,0.6700558521162088,0.847812972453696,0.756746357792763,0.708877676715252,0.570471966986491,0.7020522900088226,0.858010940003675,0.7873593420985298,1.0,0.799816853854281,0.621176025603171
55 t/m 70_less than 4.999,0.4609128537595811,0.25980998072015643,0.48507565462927765,0.6676959992777035,0.4717622920211852,0.6641640985508335,0.5078909387482003,0.5642751447091552,0.6244024722213037,0.4665815019986385,0.711421777130253,0.5835597094893268,0.6458764559105814,0.7554110811310618,0.6080643170168535,0.797814419058919,0.7510718175379119,0.7555038581997382,0.7653065073562559,0.6892622653593842,0.7378587150118262,0.5914562751751328,0.799816853854281,1.0,0.6034695792141598
55 t/m 70_more than 30.000,0.2624698158296191,0.19493865843454372,0.30735904474324743,0.4088897706976452,0.3361283304990706,0.4396786094523751,0.32833417355983835,0.32289341341645833,0.37492867581538175,0.3271822564450364,0.485061159676855,0.4260547944759522,0.4770502526446124,0.4695315376960116,0.533887794551341,0.5943479644313178,0.5527474101601411,0.4657068472419801,0.5122003265705718,0.5354610561273215,0.5655489393563226,0.49332263521970754,0.621176025603171,0.6034695792141598,1.0
