,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
35 t/m 44_10.000-19.999,0.6663785179584552,0.29064349091661357,0.7253213219170905,0.7152437875640949,0.635942085303718,0.8975932445142587,0.7405571035450412,0.7531483897542153,0.7783878280393838,0.5561012641667376,1.0,0.7973614814865861,0.8100264430409685,0.6529297386300181,0.8283554113389431,0.8679560546561832,0.834842236824612,0.8648902336679385,0.657105812441952,0.8074869690463101,0.8345325563745111,0.6863201008809777,0.713687065234641,0.7261112292386821,0.5065897730770326
35 t/m 44_20.000-29.999,0.6975811415923598,0.1972351480693,0.6472210204161797,0.712957515910262,0.5522491381944032,0.7815055055341075,0.6490275336990662,0.7483898232696017,0.8254876888440121,0.5026659684622414,0.7973614814865861,1.0,0.6847247984848142,0.587843598628604,0.6854911062407893,0.7542772004340502,0.6359711854877419,0.7729485771916856,0.6271166453766538,0.7043200482074955,0.6639061731722745,0.5328255176923747,0.5821879636289689,0.6027343175736714,0.44844234886543966
35 t/m 44_5.000-9.999,0.5037340950603202,0.3297936440425849,0.6080143181949978,0.5660005001804185,0.5486513001164899,0.7271153357921661,0.6201464306172418,0.6232365954225482,0.6053358200440002,0.4299766355455456,0.8100264430409685,0.6847247984848142,1.0,0.5564458047985774,0.8106165556432081,0.7805086425591043,0.7805327893481067,0.72748066403454,0.5500384374966073,0.740629919873694,0.7844807572305951,0.762054800629082,0.7462528334078109,0.6630482655651544,0.4987215873148455
35 t/m 44_less than 4.999,0.4264591162660267,0.34835349225837314,0.4912490323026688,0.7274043094556581,0.5537712219782173,0.6748192118784158,0.554039249977717,0.6161818403999652,0.661041066758232,0.5538511114019505,0.6529297386300181,0.587843598628604,0.5564458047985774,1.0,0.4959343440102921,0.6328320631568024,0.6642300859548731,0.6668745246611438,0.8466894075785335,0.5665752240062728,0.5687890085212646,0.4564289352808112,0.642792286722628,0.7682372093996518,0.49132960854394814
35 t/m 44_more than 30.000,0.5730085379377747,0.2589835244047704,0.6972149059674145,0.5939414077807481,0.5594843474845967,0.7834237693461201,0.6755182119596493,0.646327913670395,0.6257601852106545,0.4920448637805893,0.8283554113389431,0.6854911062407893,0.8106165556432081,0.4959343440102921,1.0,0.8213918608471823,0.7732264768909037,0.7577494733282348,0.5304617868508283,0.7817314594002022,0.7786645365567684,0.6976420038563221,0.6863546965499283,0.6264953430747556,0.5543827117475331
45 t/m 54_10.000-19.999,0.6072901844903426,0.26806953610663303,0.628913471173073,0.6631022232540681,0.5493759979613896,0.7970242365620873,0.6409533472067519,0.6566998644060542,0.7084171342509741,0.4929764468112569,0.8679560546561832,0.7542772004340502,0.7805086425591043,0.6328320631568024,0.8213918608471823,1.0,0.81339087516268,0.8420709327491462,0.6449101483253776,0.8118125706757803,0.9286630704017536,0.7977812771781856,0.8562563649190932,0.8087050863482064,0.6132024419017602
45 t/m 54_20.000-29.999,0.4854837001946721,0.3616750213778365,0.6187930164279205,0.6593940366192264,0.581113507217725,0.7669647938900774,0.6258100610896291,0.6168404296549345,0.636216738153403,0.5462235066759623,0.834842236824612,0.6359711854877419,0.7805327893481067,0.6642300859548731,0.7732264768909037,0.81339087516268,1.0,0.7620734143150136,0.6451697009930303,0.7661515783451309,0.8005951599808937,0.7110631475188356,0.7695135798467496,0.7640884375063473,0.5727715383268988
45 t/m 54_5.000-9.999,0.6441648646536067,0.21295728398530642,0.6603597644801901,0.6995927889553106,0.5439904378657736,0.8254507731625587,0.6081303300109531,0.7490617753874126,0.7920833319163181,0.46910333432456514,0.8648902336679385,0.7729485771916856,0.72748066403454,0.6668745246611438,0.7577494733282348,0.8420709327491462,0.7620734143150136,1.0,0.6692268246675974,0.8355913807918512,0.7922838496632896,0.6206454999970402,0.723670197452188,0.7683258979493971,0.4875666672142655
45 t/m 54_less than 4.999,0.46369904980976934,0.2733983366414545,0.4825343868462287,0.7741256249695398,0.5565972169918773,0.6920483833284644,0.5536802735869205,0.6498649582522492,0.7124018762200436,0.5733929470577367,0.657105812441952,0.6271166453766538,0.5500384374966073,0.8466894075785335,0.5304617868508283,0.6449101483253776,0.6451697009930303,0.6692268246675974,1.0,0.5911887308907089,0.540198676380139,0.4065744626971714,0.5900193151174175,0.7776928950252376,0.5331882711330419
45 t/m 54_more than 30.000,0.5135443180751047,0.22185080425892884,0.5716036202788244,0.6011798092916313,0.48779958735786455,0.7302657400464133,0.5475760335470405,0.6600889881979405,0.5964344295741583,0.41380144949415804,0.8074869690463101,0.7043200482074955,0.740629919873694,0.5665752240062728,0.7817314594002022,0.8118125706757803,0.7661515783451309,0.8355913807918512,0.5911887308907089,1.0,0.8006930769306215,0.6477557345205979,0.7171187225831053,0.7048316496269932,0.5559181726817023
55 t/m 70_10.000-19.999,0.5375748399197265,0.2554599526438737,0.5532840925675881,0.5549809610998866,0.49774268267927274,0.7107608106491932,0.5527936147418098,0.586734510443244,0.5950236998110805,0.4124952929669635,0.8345325563745111,0.6639061731722745,0.7844807572305951,0.5687890085212646,0.7786645365567684,0.9286630704017536,0.8005951599808937,0.7922838496632896,0.540198676380139,0.8006930769306215,1.0,0.8753552807954695,0.8659341896654954,0.751446484690864,0.5852319833470209
55 t/m 70_20.000-29.999,0.4388887875548669,0.28442834293470654,0.46124650738475415,0.44691488319512374,0.4449247526872889,0.5799973318488411,0.45272011385536604,0.47137870766865986,0.45131291446352645,0.348086395384866,0.6863201008809777,0.5328255176923747,0.762054800629082,0.4564289352808112,0.6976420038563221,0.7977812771781856,0.7110631475188356,0.6206454999970402,0.4065744626971714,0.6477557345205979,0.8753552807954695,1.0,0.798739482521248,0.6103976880212756,0.5146958987381065
55 t/m 70_5.000-9.999,0.42415620399454596,0.3478830213756059,0.49510100795474116,0.5355619667461509,0.4703614249597788,0.6506902099570628,0.49294682946355867,0.5240648932336072,0.5478650774596358,0.40645523730438843,0.713687065234641,0.5821879636289689,0.7462528334078109,0.642792286722628,0.6863546965499283,0.8562563649190932,0.7695135798467496,0.723670197452188,0.5900193151174175,0.7171187225831053,0.8659341896654954,0.798739482521248,1.0,0.8106128760941248,0.6391854449740589
55 t/m 70_less than 4.999,0.4828474497875756,0.2817025895958076,0.5066040026819547,0.6840822953709199,0.493523497316493,0.680680378826766,0.5289705019159057,0.5839928924125906,0.6423056678285869,0.48842736384345975,0.7261112292386821,0.6027343175736714,0.6630482655651544,0.7682372093996518,0.6264953430747556,0.8087050863482064,0.7640884375063473,0.7683258979493971,0.7776928950252376,0.7048316496269932,0.751446484690864,0.6103976880212756,0.8106128760941248,1.0,0.6220444790605154
55 t/m 70_more than 30.000,0.2844126143899609,0.21504112001494677,0.3299132863602175,0.4314389977283079,0.3588611348051243,0.46190851807164807,0.3510338414594373,0.3455633517194147,0.39766941421761776,0.3498760870767624,0.5065897730770326,0.44844234886543966,0.4987215873148455,0.49132960854394814,0.5543827117475331,0.6132024419017602,0.5727715383268988,0.4875666672142655,0.5331882711330419,0.5559181726817023,0.5852319833470209,0.5146958987381065,0.6391854449740589,0.6220444790605154,1.0
