,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
35 t/m 44_Less than 10 km,0.46964604245087016,0.48278829650188376,0.5904113014500592,0.5879758840265656,0.561547196289144,0.6113799090153633,0.579697669176172,0.6789097288511207,0.6938913558420784,0.5569417126464101,0.5720747020972166,0.5550737143029221,0.6404752613848718,1.0,0.5755088659411624,0.7009561815185794,0.5879981482882976,0.5272898526608129,0.8190772887271146,0.4945781135922335,0.7940224112337974,0.6685972378499294,0.6942784569364945,0.808500000996355,0.45478373394083516
35 t/m 44_more than 50,0.6123924324131479,0.5319310667976989,0.5362468237959302,0.6794812242966841,0.7059637776432484,0.6250768490116134,0.6970579760792583,0.5537233245388821,0.7565626282553739,0.6537528381830878,0.5653470539948987,0.5827195563236142,0.7862043722031278,0.5755088659411624,1.0,0.5391013881997564,0.7221963942016844,0.5812678538000337,0.49708820815009985,0.6725660674620413,0.6496704529728277,0.7444781656558072,0.6460671500843332,0.4942223366686844,0.6983533399412841
45 t/m 54_10-19 km,0.4263035141189297,0.3924241336826624,0.6190362444590675,0.42809150653820016,0.5767496477223233,0.6931208413169944,0.479608794051433,0.6432008398515484,0.5835601811601534,0.6559632317102401,0.5766374666215429,0.6112146052919577,0.7463240385999839,0.7009561815185794,0.5391013881997564,1.0,0.6544165969508087,0.6972739946889452,0.8077073271381963,0.6813140452107628,0.8227255480670996,0.682593958079497,0.8407186740769282,0.7902926196129174,0.5726979478596487
45 t/m 54_20-29 km,0.5500875491655877,0.4940023472989373,0.5038227871560704,0.5584949843897214,0.6701785476179272,0.7084766752014704,0.6577166568517266,0.5701979180958117,0.6436845498450741,0.6959679738072239,0.609180455005478,0.5984062232009878,0.7249751023337084,0.5879981482882976,0.7221963942016844,0.6544165969508087,1.0,0.6182961146964878,0.6065978552219476,0.672680124601662,0.7190460184131466,0.709308062815085,0.747993983802833,0.5861620396022524,0.7118155124165723
45 t/m 54_30-49 km,0.4585101722559704,0.36646491593050673,0.5277254357114819,0.4185336257438107,0.5703145867017575,0.5956597134096547,0.4952503068073868,0.5333549212704178,0.5547633434960615,0.5948682053747774,0.5247129156455712,0.5913224364531741,0.7700947861485195,0.5272898526608129,0.5812678538000337,0.6972739946889452,0.6182961146964878,1.0,0.5789370528674225,0.7662031122393844,0.7424361212763504,0.6999011414176941,0.7612096877147415,0.619143227394175,0.7364381309824442
45 t/m 54_Less than 10 km,0.4359339024873835,0.4488007694357998,0.5785903469186499,0.48011106470838577,0.5643000578710263,0.6286396617182636,0.46533812207988534,0.681493750577862,0.5897474272438045,0.6528767157211488,0.6103566990872072,0.5637992916046572,0.6355812516370716,0.8190772887271146,0.49708820815009985,0.8077073271381963,0.6065978552219476,0.5789370528674225,1.0,0.5221698451960901,0.8281711225814604,0.6729587679977996,0.7789075559145808,0.892641663908711,0.4638873429736111
45 t/m 54_more than 50,0.4308866174289645,0.3401363991600988,0.4279252657063797,0.45489723955796196,0.612675364439904,0.6348490439235402,0.5941177259606298,0.4636634799476982,0.6038832760043079,0.551501775502142,0.5034452403119518,0.6310307971833601,0.7874494866302035,0.4945781135922335,0.6725660674620413,0.6813140452107628,0.672680124601662,0.7662031122393844,0.5221698451960901,1.0,0.6899044903800405,0.7063043151825833,0.7292159515513715,0.4941785734586285,0.8112418353049243
55 t/m 70_10-19 km,0.5059854070866263,0.46902014271431264,0.5908840445214358,0.5494807000909204,0.602997349579382,0.7123199948540223,0.6236635598372336,0.610854899257904,0.7568419332665174,0.6449426273678946,0.6503722628998378,0.6389798278079962,0.7746312554035606,0.7940224112337974,0.6496704529728277,0.8227255480670996,0.7190460184131466,0.7424361212763504,0.8281711225814604,0.6899044903800405,1.0,0.8268835975702867,0.8722031319643277,0.8144331994040214,0.6626358296588626
55 t/m 70_20-29 km,0.5607604761285134,0.5372421412397395,0.5374964469087513,0.6143782213967236,0.6221051490787612,0.6451255421665304,0.5915864972750914,0.5668326088683947,0.7122648187728691,0.6503122552771662,0.6395227787594762,0.6373052381582726,0.7772791591202575,0.6685972378499294,0.7444781656558072,0.682593958079497,0.709308062815085,0.6999011414176941,0.6729587679977996,0.7063043151825833,0.8268835975702867,1.0,0.8139094792737691,0.6747908482932843,0.7074360301663537
55 t/m 70_30-49 km,0.473957460606425,0.4702978842002111,0.6060084710019649,0.4695090570136345,0.6077550534641547,0.6856767583483957,0.5461005127235561,0.6844467337604109,0.6303651195231779,0.7257191638719085,0.656603915865199,0.6701027424625289,0.800599968682854,0.6942784569364945,0.6460671500843332,0.8407186740769282,0.747993983802833,0.7612096877147415,0.7789075559145808,0.7292159515513715,0.8722031319643277,0.8139094792737691,1.0,0.8112816548806965,0.6939220114912779
55 t/m 70_Less than 10 km,0.43433659185686696,0.4699369394909101,0.6602455770644524,0.4401850561183414,0.5484089969694187,0.5857232599479675,0.44280940276088354,0.711947121280665,0.5544622489871608,0.637411230610925,0.5787025146086529,0.5283859044508501,0.6315799077166164,0.808500000996355,0.4942223366686844,0.7902926196129174,0.5861620396022524,0.619143227394175,0.892641663908711,0.4941785734586285,0.8144331994040214,0.6747908482932843,0.8112816548806965,1.0,0.4630610735041032
55 t/m 70_more than 50,0.39841742075152287,0.32835989412161176,0.40368345374265524,0.433404377376371,0.5262190655367829,0.5225042864194973,0.5600846083692155,0.4241764893217693,0.6023393993966824,0.5642628019123028,0.4703629680951537,0.5265724459348978,0.7671938107481228,0.45478373394083516,0.6983533399412841,0.5726979478596487,0.7118155124165723,0.7364381309824442,0.4638873429736111,0.8112418353049243,0.6626358296588626,0.7074360301663537,0.6939220114912779,0.4630610735041032,1.0
