,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
35 t/m 44_10-19 km,0.6137575047769163,0.4479381874055908,0.5393200622119897,0.5665716444061183,0.5035733169395524,0.781020845212524,0.6406387174795026,0.5293027143170267,0.7645644254168157,0.6059298668145208,1.0,0.7422309058678614,0.6281623838959918,0.7000083823541421,0.5968018122975354,0.8294897699583411,0.8192450223018694,0.7522136586813857,0.7565852913936028,0.7596049891047826,0.786517799394743,0.7969624252825995,0.8013827948444894,0.7558120709378402,0.48610344318754284
35 t/m 44_20-29 km,0.6688872205155475,0.5807821836542025,0.717612936080798,0.6971154873090785,0.5459759005233772,0.7920433163180691,0.8040473994083439,0.714615758915888,0.7702418264111635,0.7097945414073992,0.7422309058678614,1.0,0.748681771830701,0.6067721985355479,0.6418898641926574,0.702274455769441,0.6835640851851216,0.692319067524443,0.6414976058091124,0.7534352979381047,0.57363174124137,0.6085389726341149,0.6319015393081332,0.5625123674153584,0.35689223274434995
35 t/m 44_30-49 km,0.6883436659217934,0.7380917439679708,0.8009028975538725,0.6961540616304918,0.6445857788614645,0.7304197191617398,0.6813333947284107,0.8315216856337571,0.6269223653159475,0.6014134635229537,0.6281623838959918,0.748681771830701,1.0,0.4467079757663767,0.6775796643313815,0.5933636936795439,0.48101980379646203,0.5679262488979431,0.5077796136774899,0.7028300161984194,0.4587812569649347,0.4992573036475645,0.5167648107699935,0.4399301857492487,0.2895656829235184
35 t/m 44_Less than 10 km,0.4935373362783394,0.3941262700694278,0.33929130784891726,0.5185337965900532,0.28948594171693826,0.666918788496471,0.5299003822656917,0.382083701433081,0.6877041948579251,0.4005120888804706,0.7000083823541421,0.6067721985355479,0.4467079757663767,1.0,0.42177050907585184,0.6479119385198987,0.6472855777916827,0.46007829064170763,0.7731949527852214,0.5521271222876832,0.652237642415011,0.5710781079947701,0.5805109972481077,0.6485462101168845,0.26306565659705017
35 t/m 44_more than 50,0.5163468949345291,0.5463166887972047,0.6337656202090588,0.5582650685139016,0.5376622972398637,0.6411940991056381,0.6074719352641775,0.7288533723233092,0.5821236958822128,0.7052961134721831,0.5968018122975354,0.6418898641926574,0.6775796643313815,0.42177050907585184,1.0,0.6055032825391673,0.5754626477648827,0.6748899277132882,0.5043260091761661,0.7806788070169277,0.5741435911745931,0.5937351967139062,0.6364491616140548,0.5347667780175988,0.4417603446413479
45 t/m 54_10-19 km,0.5615668143870496,0.4188586944574442,0.49067857176160284,0.49975295871055214,0.4428142209301826,0.7137384784466874,0.5981661981435247,0.5075041451464204,0.7123341972425121,0.6011172288843136,0.8294897699583411,0.702274455769441,0.5933636936795439,0.6479119385198987,0.6055032825391673,1.0,0.811628514902075,0.7720234491479712,0.757393481966476,0.7494573834625996,0.8386420554594229,0.837903019363391,0.7657069771396793,0.8255303453163305,0.5042102834631036
45 t/m 54_20-29 km,0.4716628175561338,0.320093642205152,0.42778251080570895,0.4607006650452208,0.36126196595050264,0.6619082510737448,0.6005241609159951,0.4378224563627274,0.6962350101199625,0.6571373037334665,0.8192450223018694,0.6835640851851216,0.48101980379646203,0.6472855777916827,0.5754626477648827,0.811628514902075,1.0,0.8190371742392536,0.7327696289833464,0.7297437547552341,0.8118635787415124,0.8136584533187445,0.8685613930308089,0.7934588897120635,0.6262759270340332
45 t/m 54_30-49 km,0.4975507350118188,0.35097895998772993,0.5226917383394771,0.48939988395558576,0.46159328860092985,0.682659058668785,0.6379998710143489,0.5158275578392956,0.6225795946917971,0.7847545107593746,0.7522136586813857,0.692319067524443,0.5679262488979431,0.46007829064170763,0.6748899277132882,0.7720234491479712,0.8190371742392536,1.0,0.6030654455200923,0.8250816294010328,0.7089737452642079,0.8276846725520202,0.827162184340181,0.6946110871896601,0.6918081961625244
45 t/m 54_Less than 10 km,0.6105764480469287,0.37853149423856514,0.3990750385498775,0.5154570862484337,0.37843310137195163,0.6987101717522544,0.5567835684869519,0.4143915142376655,0.7653951917719316,0.5003605381303748,0.7565852913936028,0.6414976058091124,0.5077796136774899,0.7731949527852214,0.5043260091761661,0.757393481966476,0.7327696289833464,0.6030654455200923,1.0,0.6246772006094652,0.7439477416848427,0.7276253115934687,0.704915259849102,0.8000736508980244,0.3612914920775901
45 t/m 54_more than 50,0.5911844896919136,0.5023652102686127,0.6182607058634919,0.5776144816654729,0.5411535094203972,0.7760547145821063,0.7175306793226363,0.696004420038953,0.6319508344852991,0.7554864269183016,0.7596049891047826,0.7534352979381047,0.7028300161984194,0.5521271222876832,0.7806788070169277,0.7494573834625996,0.7297437547552341,0.8250816294010328,0.6246772006094652,1.0,0.6763753375893942,0.7223754996584276,0.7682538487169286,0.6555682763231186,0.5578138230187966
55 t/m 70_10-19 km,0.443336026841943,0.3278351478842339,0.3772904384163809,0.4095767075161082,0.33800017671603,0.6027732551845737,0.4802622479380716,0.40186781949435896,0.6139275967323992,0.549975961991611,0.786517799394743,0.57363174124137,0.4587812569649347,0.652237642415011,0.5741435911745931,0.8386420554594229,0.8118635787415124,0.7089737452642079,0.7439477416848427,0.6763753375893942,1.0,0.8834183564772963,0.8480406791207229,0.9075376462507793,0.5511612939167849
55 t/m 70_20-29 km,0.499042962525894,0.34504152315491876,0.4196568673348166,0.46619041161286134,0.37620648696065223,0.6648652546494034,0.49779535903438715,0.43060550724327357,0.6321958068875061,0.6196771836392082,0.7969624252825995,0.6085389726341149,0.4992573036475645,0.5710781079947701,0.5937351967139062,0.837903019363391,0.8136584533187445,0.8276846725520202,0.7276253115934687,0.7223754996584276,0.8834183564772963,1.0,0.869199116833783,0.8891059520801693,0.6206534771409731
55 t/m 70_30-49 km,0.48339925456229826,0.3340644098972046,0.42276476190265705,0.4724628725011229,0.3693574847670914,0.6756329522854742,0.5479754925469055,0.45348794229412076,0.6358563091894981,0.6634490381746615,0.8013827948444894,0.6319015393081332,0.5167648107699935,0.5805109972481077,0.6364491616140548,0.7657069771396793,0.8685613930308089,0.827162184340181,0.704915259849102,0.7682538487169286,0.8480406791207229,0.869199116833783,1.0,0.7931880937218343,0.6691965639427181
55 t/m 70_Less than 10 km,0.46850980873027115,0.3087349427592643,0.3512366598707027,0.4137122593472337,0.3315594641854742,0.6095381244877615,0.4606550622634365,0.37890154724573655,0.628183666985894,0.5200044184479088,0.7558120709378402,0.5625123674153584,0.4399301857492487,0.6485462101168845,0.5347667780175988,0.8255303453163305,0.7934588897120635,0.6946110871896601,0.8000736508980244,0.6555682763231186,0.9075376462507793,0.8891059520801693,0.7931880937218343,1.0,0.5249360937561027
55 t/m 70_more than 50,0.22304527827383158,0.147654080268334,0.2463428953196208,0.25451169739300067,0.23166102463575922,0.37091785537266897,0.3523025063669735,0.26381541473948883,0.3423936225679214,0.5545602980317516,0.48610344318754284,0.35689223274434995,0.2895656829235184,0.26306565659705017,0.4417603446413479,0.5042102834631036,0.6262759270340332,0.6918081961625244,0.3612914920775901,0.5578138230187966,0.5511612939167849,0.6206534771409731,0.6691965639427181,0.5249360937561027,1.0
