,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
35 t/m 44_10-19 km,0.45493056438120283,0.44816423523051463,0.5357458567860567,0.6506914365585174,0.3072219844760617,0.655937742802274,0.49431840530233756,0.46703767676022506,0.7850075283902193,0.49328466582317443,1.0,0.6921351575499751,0.7578980838617418,0.7996615030038312,0.692487807255129,0.8164133053215025,0.7129311790234804,0.7699834607698861,0.8271959769632187,0.6946031316484906,0.7837690653193565,0.7935386030622086,0.7503253797009517,0.7623158147818543,0.7942387222919296
35 t/m 44_20-29 km,0.5341969275590728,0.452615650528633,0.5667794366219479,0.6190555257371518,0.3983319696024939,0.6948466541419809,0.5327010010428544,0.5366058392355701,0.7282714679976768,0.5868695412516024,0.6921351575499751,1.0,0.7295050431674552,0.7132630032533674,0.6400898500180152,0.7065708752297404,0.5904283853457636,0.7239863622212243,0.702606550644782,0.6497994686120122,0.6571008524507139,0.6742024432952283,0.7231205613473758,0.7049713612425208,0.6891945466228361
35 t/m 44_30-49 km,0.5424711697312862,0.4444963242479419,0.5017547655689262,0.5917608998496933,0.38983267193726173,0.7309689491696649,0.6706577805462909,0.5521842608534693,0.7846497289692255,0.5038543559279122,0.7578980838617418,0.7295050431674552,1.0,0.6724827920537003,0.7398228471993084,0.7494994811550421,0.6223490725783796,0.7982783977055661,0.7199874102777327,0.7708507627684481,0.751413874487559,0.6809579829295381,0.6649599846456657,0.6389722923257714,0.7418293446843823
35 t/m 44_Less than 10 km,0.5262894889093772,0.5670165796059227,0.6349353225172858,0.8250284408557594,0.3539211555353896,0.749581469530347,0.48181617587563325,0.48064881818438476,0.8283304487530341,0.519508405055611,0.7996615030038312,0.7132630032533674,0.6724827920537003,1.0,0.6264128364078686,0.8116444491412514,0.5950981470093613,0.6575149295936746,0.851641576135884,0.5982794653945922,0.7091477947625223,0.783194528341079,0.7621470497040695,0.8537874804815293,0.7366493206030426
35 t/m 44_more than 50,0.4972949921972523,0.5682543221858413,0.4930118347903183,0.5639243938674021,0.31414029343492583,0.5854729051124546,0.5946829878986621,0.4595476077836219,0.7584644468974857,0.4202055278479188,0.692487807255129,0.6400898500180152,0.7398228471993084,0.6264128364078686,1.0,0.6850803115089558,0.5559202358290715,0.6434364991145085,0.6050607029967738,0.7480196933410389,0.6422365981942322,0.7344117949809064,0.6475985251158863,0.575328181993439,0.6748630370125636
45 t/m 54_10-19 km,0.49584081762025695,0.5475065048690693,0.5790348691477641,0.6986640972044181,0.36734663117023136,0.7069451909665743,0.5748274659825902,0.49455450900189657,0.8255441057746651,0.527912788460889,0.8164133053215025,0.7065708752297404,0.7494994811550421,0.8116444491412514,0.6850803115089558,1.0,0.6988161464744411,0.7541865113246062,0.8408839426111736,0.6864716851626598,0.7866626112143198,0.7818522978107986,0.7763199646241006,0.8157024181945549,0.7814194229459216
45 t/m 54_20-29 km,0.41782035754116414,0.3754701852687247,0.4077472436859754,0.5183394743168471,0.2373461835376832,0.4698361894441981,0.5135747702774129,0.31542659112800575,0.6742211364318373,0.3069893143619104,0.7129311790234804,0.5904283853457636,0.6223490725783796,0.5950981470093613,0.5559202358290715,0.6988161464744411,1.0,0.6550382122656828,0.6884777297939721,0.6029732287572634,0.7587444042094246,0.681158174837979,0.6375834391836906,0.6656947154080222,0.6314138999271768
45 t/m 54_30-49 km,0.45840211544099124,0.3951594916715157,0.4806564378790769,0.5310985511195114,0.3081227070528804,0.6604931556776661,0.5685243686827816,0.543110247898631,0.7078690149551785,0.4634232688040498,0.7699834607698861,0.7239863622212243,0.7982783977055661,0.6575149295936746,0.6434364991145085,0.7541865113246062,0.6550382122656828,1.0,0.7070947249788606,0.6049113266463841,0.7129535602826476,0.6888072306143002,0.710032741493799,0.6457184098201785,0.7006875524054161
45 t/m 54_Less than 10 km,0.494672758276964,0.44876731121397573,0.5350747666024405,0.730562317716917,0.3144611893427816,0.7198145421148795,0.537489038802889,0.3981508972098645,0.7939207426235796,0.4723853030172159,0.8271959769632187,0.702606550644782,0.7199874102777327,0.851641576135884,0.6050607029967738,0.8408839426111736,0.6884777297939721,0.7070947249788606,1.0,0.6158155314291645,0.7975953486951204,0.7526131726579931,0.7661558164710699,0.863520620098601,0.7263712215337089
45 t/m 54_more than 50,0.5286476993334523,0.5162808201839261,0.48813422746187546,0.5328240757264506,0.37274694985143036,0.587496496304908,0.5796055994790417,0.48872490582753675,0.7750772819254959,0.4717381194500893,0.6946031316484906,0.6497994686120122,0.7708507627684481,0.5982794653945922,0.7480196933410389,0.6864716851626598,0.6029732287572634,0.6049113266463841,0.6158155314291645,1.0,0.6534593888191081,0.6726371998596052,0.6080006164250056,0.5684287705046845,0.6813562856050362
55 t/m 70_10-19 km,0.4531570460349445,0.4170536180503955,0.47770028944629,0.5783361255526464,0.25976745244548466,0.6288052256404216,0.5633795330194844,0.37204896507508933,0.7224062273273615,0.3538759188951023,0.7837690653193565,0.6571008524507139,0.751413874487559,0.7091477947625223,0.6422365981942322,0.7866626112143198,0.7587444042094246,0.7129535602826476,0.7975953486951204,0.6534593888191081,1.0,0.7856669523814825,0.7270093343303704,0.7680087675154662,0.7239077659102623
55 t/m 70_20-29 km,0.4093246904791333,0.48750378236035674,0.4900035010026643,0.6237749402155947,0.23412555110923555,0.6245807586961463,0.46141910593078883,0.40052702534834883,0.7498678343660651,0.41684556466851364,0.7935386030622086,0.6742024432952283,0.6809579829295381,0.783194528341079,0.7344117949809064,0.7818522978107986,0.681158174837979,0.6888072306143002,0.7526131726579931,0.6726371998596052,0.7856669523814825,1.0,0.7400517316030125,0.7842154367745605,0.7535334125607478
55 t/m 70_30-49 km,0.49980655651180383,0.4798825315102882,0.5756643947449974,0.6311068431015923,0.27950778197232934,0.6750893434359022,0.47796454880654066,0.4876692694915559,0.7410152409384938,0.4718618362795236,0.7503253797009517,0.7231205613473758,0.6649599846456657,0.7621470497040695,0.6475985251158863,0.7763199646241006,0.6375834391836906,0.710032741493799,0.7661558164710699,0.6080006164250056,0.7270093343303704,0.7400517316030125,1.0,0.7213320344652279,0.7404551922443698
55 t/m 70_Less than 10 km,0.4395147543306635,0.4357642990415351,0.5342898121988947,0.7487505816119528,0.3039923059400708,0.6808815946905324,0.48832957056092624,0.36120804291632375,0.7374457739924031,0.4877013229062206,0.7623158147818543,0.7049713612425208,0.6389722923257714,0.8537874804815293,0.575328181993439,0.8157024181945549,0.6656947154080222,0.6457184098201785,0.863520620098601,0.5684287705046845,0.7680087675154662,0.7842154367745605,0.7213320344652279,1.0,0.7857302753552184
55 t/m 70_more than 50,0.4976844074642006,0.4660685521002256,0.5869491230938999,0.6880035927093493,0.3605475313747369,0.702938108129811,0.49675878516537847,0.481928607362421,0.7598759937951801,0.5649498914510421,0.7942387222919296,0.6891945466228361,0.7418293446843823,0.7366493206030426,0.6748630370125636,0.7814194229459216,0.6314138999271768,0.7006875524054161,0.7263712215337089,0.6813562856050362,0.7239077659102623,0.7535334125607478,0.7404551922443698,0.7857302753552184,1.0
