,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
35 t/m 44_10-19 km,0.6020953071479574,0.6124873267323325,0.5268428265918859,0.5134843251914692,0.27107990757944406,0.6053002900390207,0.4896338778914014,0.6138436850576108,0.7286415197168084,0.42489921577455353,1.0,0.7234279508462936,0.6683485279663526,0.7491971037922224,0.6131703725943225,0.7384990381442694,0.6755347044083685,0.7581023364467827,0.660189776377729,0.7439574197196175,0.7156243028020673,0.7515301857699311,0.7392393474163457,0.717164195188273,0.5292527930979699
35 t/m 44_20-29 km,0.725087781504404,0.582814924273495,0.596163151598088,0.6247269102944711,0.2688694880675182,0.725984180204676,0.6633017941476099,0.6807183702815077,0.7377882554713083,0.6206199522201266,0.7234279508462936,1.0,0.7302712376579277,0.7342459665984027,0.7471743625385133,0.7827912956677419,0.7442401415892781,0.8171026160378395,0.7466516716353716,0.6879287657616813,0.6957984667009204,0.7007183480991667,0.6150141487273919,0.6445299403252213,0.5395259083930395
35 t/m 44_30-49 km,0.5954010814587475,0.685089857497959,0.44381692009790286,0.5049403975954706,0.37239489744674675,0.589849491319391,0.6138211599427247,0.7470880712691733,0.5835105492417197,0.4991349607684158,0.6683485279663526,0.7302712376579277,1.0,0.7397567644318784,0.5435924923267962,0.6783370921205705,0.6455976904350422,0.7223371216139768,0.6846527004231363,0.6786082272547537,0.7219467279432675,0.6255968962027018,0.6458449826194882,0.7183182956432943,0.5157004120537854
35 t/m 44_Less than 10 km,0.6020829603705552,0.6362374733876374,0.44050885213592944,0.6463453425816152,0.33599762520818394,0.6520264324773061,0.632289136973778,0.7465536580705577,0.7685218798086627,0.4535394252164309,0.7491971037922224,0.7342459665984027,0.7397567644318784,1.0,0.5709482870400622,0.7480809597681463,0.6149709831992064,0.8071159524740634,0.8713881343336605,0.7274915906056459,0.7754645061258969,0.6892842325903448,0.64672302679502,0.7999932767264974,0.5306419527280546
35 t/m 44_more than 50,0.7134481633030844,0.5086648108042399,0.5141347262890377,0.5753589875066517,0.22838613471711833,0.6779558870890815,0.5516381882812793,0.5623239618604351,0.6862029196043644,0.5219662358679996,0.6131703725943225,0.7471743625385133,0.5435924923267962,0.5709482870400622,1.0,0.7011862297054425,0.690267428043163,0.69987510870343,0.5740108639150472,0.5932214445092596,0.5650131623531887,0.6757785760745522,0.52559384567828,0.5308036042925895,0.4671061056083701
45 t/m 54_10-19 km,0.6077610293845345,0.5625158285883851,0.5075677944616147,0.5725593153379651,0.2500412059468152,0.6398809266828389,0.5581588957752196,0.6512922034401923,0.6946710248807579,0.49054721737130996,0.7384990381442694,0.7827912956677419,0.6783370921205705,0.7480809597681463,0.7011862297054425,1.0,0.7957299563646163,0.860434603747547,0.790071504083197,0.7255326842004405,0.8638938446068388,0.8215988637808673,0.7383535936747117,0.8035743427362917,0.7127022976684809
45 t/m 54_20-29 km,0.6310840637105705,0.5232278814200625,0.4971317367718867,0.5613739128137442,0.23699765354753544,0.6678646602937605,0.5479359033553914,0.5940496019974975,0.6242782148877613,0.4818542404455789,0.6755347044083685,0.7442401415892781,0.6455976904350422,0.6149709831992064,0.690267428043163,0.7957299563646163,1.0,0.7987686418538021,0.6390978507680152,0.6317406345851443,0.7385540922250455,0.792885177214684,0.6642365647687405,0.6791459724474935,0.5584573083290556
45 t/m 54_30-49 km,0.635946652105044,0.6105581528166261,0.5070731858450992,0.6250351142687156,0.269794049263826,0.6893556419201645,0.5901279068645444,0.6724967503220637,0.721719127498061,0.4892212101484732,0.7581023364467827,0.8171026160378395,0.7223371216139768,0.8071159524740634,0.69987510870343,0.860434603747547,0.7987686418538021,1.0,0.8029146509364948,0.7697353528616475,0.8307859656323607,0.8153946867158771,0.7254431102603219,0.8155270568640638,0.6116801132261291
45 t/m 54_Less than 10 km,0.5736184239614825,0.5559771269322117,0.4263648479138654,0.6846425155479422,0.2830717728544024,0.630985009899629,0.6460766515046488,0.651347119857795,0.76468889745524,0.4317568839287994,0.660189776377729,0.7466516716353716,0.6846527004231363,0.8713881343336605,0.5740108639150472,0.790071504083197,0.6390978507680152,0.8029146509364948,1.0,0.6160212018380137,0.7752046940671938,0.7143232582608914,0.5579768956798847,0.7631266859721115,0.5378576681372417
45 t/m 54_more than 50,0.5222620129974976,0.5847588561505405,0.41901300005842357,0.40717556215804124,0.29910858255519596,0.5645959369944431,0.4598713543591061,0.6693594536650315,0.5665900276408078,0.4296081598912721,0.7439574197196175,0.6879287657616813,0.6786082272547537,0.7274915906056459,0.5932214445092596,0.7255326842004405,0.6317406345851443,0.7697353528616475,0.6160212018380137,1.0,0.7830804581937681,0.7048824704993464,0.7602659505477253,0.788661706880559,0.5863722517396173
55 t/m 70_10-19 km,0.5208627809788916,0.5753104186346761,0.39978901747185164,0.4930613357910098,0.299392623434661,0.5479479403529155,0.5354885392301337,0.638942298697922,0.5972889926480083,0.4253288159609534,0.7156243028020673,0.6957984667009204,0.7219467279432675,0.7754645061258969,0.5650131623531887,0.8638938446068388,0.7385540922250455,0.8307859656323607,0.7752046940671938,0.7830804581937681,1.0,0.8123335175978041,0.7932139317505212,0.9119856224048573,0.7507900966578482
55 t/m 70_20-29 km,0.5864251932374173,0.5153426043109484,0.43272359312456204,0.5055027407771898,0.22068190784350847,0.5709951861701363,0.5073849608885922,0.5865032744232617,0.6550115796496516,0.3826773298559136,0.7515301857699311,0.7007183480991667,0.6255968962027018,0.6892842325903448,0.6757785760745522,0.8215988637808673,0.792885177214684,0.8153946867158771,0.7143232582608914,0.7048824704993464,0.8123335175978041,1.0,0.7332924443966712,0.8090690458215841,0.671116740482164
55 t/m 70_30-49 km,0.4602746392456064,0.5293796527339925,0.3635747090625337,0.3618273921530399,0.27209126899986863,0.4471619744162667,0.39167471710199137,0.5925590794212156,0.48390849690345256,0.3452778945458574,0.7392393474163457,0.6150141487273919,0.6458449826194882,0.64672302679502,0.52559384567828,0.7383535936747117,0.6642365647687405,0.7254431102603219,0.5579768956798847,0.7602659505477253,0.7932139317505212,0.7332924443966712,1.0,0.7941027477756426,0.7250986674958168
55 t/m 70_Less than 10 km,0.49152120125884485,0.5501664008249141,0.36268121486541666,0.4558453490389733,0.29338221304668477,0.5080070154782341,0.45203818355604775,0.628858769060955,0.5854126051980458,0.35704691400671795,0.717164195188273,0.6445299403252213,0.7183182956432943,0.7999932767264974,0.5308036042925895,0.8035743427362917,0.6791459724474935,0.8155270568640638,0.7631266859721115,0.788661706880559,0.9119856224048573,0.8090690458215841,0.7941027477756426,1.0,0.7027070469036233
55 t/m 70_more than 50,0.37124403225907315,0.40532224206777634,0.31935201329856555,0.30228349033903895,0.22808542257288392,0.3675891936138481,0.3510373645814162,0.4792189881620641,0.3913817722387306,0.2898623886907821,0.5292527930979699,0.5395259083930395,0.5157004120537854,0.5306419527280546,0.4671061056083701,0.7127022976684809,0.5584573083290556,0.6116801132261291,0.5378576681372417,0.5863722517396173,0.7507900966578482,0.671116740482164,0.7250986674958168,0.7027070469036233,1.0
