,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_5.000-9.999,18 t/m 24_less than 4.999,18 t/m 24_more than 30.000,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_5.000-9.999,25 t/m 34_less than 4.999,25 t/m 34_more than 30.000,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_5.000-9.999,35 t/m 44_less than 4.999,35 t/m 44_more than 30.000,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_5.000-9.999,45 t/m 54_less than 4.999,45 t/m 54_more than 30.000,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_5.000-9.999,55 t/m 70_less than 4.999,55 t/m 70_more than 30.000
35 t/m 44_10.000-19.999,0.7571855446892329,0.41642098846884906,0.43014543267094135,0.7138132414807724,0.38410817600082425,0.6975223804929858,0.6849005365701271,0.776535404834974,0.7099315897262695,0.6285261050022977,1.0,0.7550694881977911,0.7758823461101942,0.6895079729140866,0.7073876599660814,0.849620522098675,0.8100395459787598,0.8321181590565458,0.6360180045843556,0.6668930044110729,0.8194772389466743,0.6951391627461285,0.7820002815175147,0.782555664977198,0.6389472261473994
35 t/m 44_20.000-29.999,0.6353888449397569,0.3405593567004128,0.3288630082813397,0.5927084578410617,0.34839025881868924,0.5349369803828206,0.5921654536920032,0.5559455520911569,0.5036684827733742,0.6161300569953304,0.7550694881977911,1.0,0.6283437310241468,0.5272597154907394,0.763481475607976,0.8126896189836946,0.8267781817671591,0.6071790171357287,0.448044342232818,0.6699487748518895,0.7636928547836946,0.7017451784915569,0.7087232679483046,0.6057833787140433,0.736254254083848
35 t/m 44_5.000-9.999,0.6947974580040164,0.5610142454313912,0.5563200710867255,0.7629693043957247,0.5150484589107962,0.7855506667398445,0.7438096692167528,0.6803749147598612,0.8022365571026174,0.5111862387827748,0.7758823461101942,0.6283437310241468,1.0,0.8019441959950996,0.5958123763775189,0.7197491825093546,0.6289924579156251,0.6688124018296061,0.7113915995886715,0.5607813426498547,0.6875855640140731,0.6571752924580546,0.7064840878432012,0.7904903773959678,0.5324583785723206
35 t/m 44_less than 4.999,0.6007634055261888,0.5539036347259723,0.6101164547127532,0.706912208162485,0.5002804910058578,0.7528814054110515,0.7425551087287993,0.693369913414226,0.7930764523985853,0.40230496641599195,0.6895079729140866,0.5272597154907394,0.8019441959950996,1.0,0.5198569463245121,0.6388338876165094,0.5056420005048208,0.6584059275130768,0.807020114658774,0.47770301995388886,0.6217221637557917,0.6057667234497967,0.6469611846934673,0.7930394912466897,0.49406084930668076
35 t/m 44_more than 30.000,0.6890031024621365,0.35917279143457215,0.3718267137813499,0.5570719493308892,0.34495117823450344,0.5501301148756292,0.6159332427402294,0.5625965914999178,0.5112603577401242,0.6433074733134352,0.7073876599660814,0.763481475607976,0.5958123763775189,0.5198569463245121,1.0,0.7384499305185922,0.7259686026770357,0.5633856912270668,0.445710606562564,0.7393763650997172,0.7066662368617872,0.6922921154548535,0.6816113212952096,0.565791145507501,0.739249598651404
45 t/m 54_10.000-19.999,0.6524675184396151,0.31343958633986546,0.3382772819011935,0.586525582119231,0.2934034564519299,0.5595095142619675,0.5802292955498081,0.7205296633543267,0.5782089981858799,0.5418540197248232,0.849620522098675,0.8126896189836946,0.7197491825093546,0.6388338876165094,0.7384499305185922,1.0,0.8785171019852915,0.8007285721424582,0.5804475871097917,0.6645031211287412,0.8859004095993589,0.7999817929321185,0.8604018796321351,0.7625916565876479,0.7533930141193772
45 t/m 54_20.000-29.999,0.6147058939836645,0.2726225130193998,0.2712113570934331,0.5713593768767741,0.2453338047967447,0.477035905040821,0.5190714708758988,0.6388059796236923,0.5172627776504284,0.6035357066201354,0.8100395459787598,0.8267781817671591,0.6289924579156251,0.5056420005048208,0.7259686026770357,0.8785171019852915,1.0,0.7108000762244953,0.47963884333001217,0.5930196793073879,0.8390069626626192,0.7010802592769017,0.7764050795818915,0.6803764350439854,0.7024124450996834
45 t/m 54_5.000-9.999,0.6003988475903815,0.29583281889583274,0.33106540111005656,0.5780757615600922,0.27866115463938546,0.5551729832203196,0.5379385751847724,0.7218598677789543,0.5876445786020398,0.4515168597290807,0.8321181590565458,0.6071790171357287,0.6688124018296061,0.6584059275130768,0.5633856912270668,0.8007285721424582,0.7108000762244953,1.0,0.623475349256934,0.565486420953965,0.7642379637757395,0.6551608840785474,0.7834020254478824,0.7719254587044221,0.5669701088177027
45 t/m 54_less than 4.999,0.5300383946515957,0.5436485813393905,0.5568419324428483,0.6305758673074044,0.4681642881235449,0.6643975848930685,0.6312479339075194,0.6394070140527168,0.8009611014948532,0.33192945339803875,0.6360180045843556,0.448044342232818,0.7113915995886715,0.807020114658774,0.445710606562564,0.5804475871097917,0.47963884333001217,0.623475349256934,1.0,0.39452673801327337,0.5683088320615319,0.5320308817640046,0.6066665935268462,0.8147164703784756,0.4185856380419627
45 t/m 54_more than 30.000,0.5360046625454097,0.2870862341793727,0.3029604836167613,0.4400185610864145,0.32463040590885284,0.5286476246209898,0.583247742993449,0.4512221530801366,0.4541672470503304,0.45243170271456706,0.6668930044110729,0.6699487748518895,0.5607813426498547,0.47770301995388886,0.7393763650997172,0.6645031211287412,0.5930196793073879,0.565486420953965,0.39452673801327337,1.0,0.6979357038403217,0.7315380684516203,0.6481883580708251,0.5140640725717298,0.7350843460963497
55 t/m 70_10.000-19.999,0.6063947258984205,0.30165119829347686,0.3112234611993673,0.5346494563803573,0.28061857764365006,0.5446309383376334,0.5904026163798505,0.6194551447343207,0.5539762332369509,0.4610251464700572,0.8194772389466743,0.7636928547836946,0.6875855640140731,0.6217221637557917,0.7066662368617872,0.8859004095993589,0.8390069626626192,0.7642379637757395,0.5683088320615319,0.6979357038403217,1.0,0.8685554566489875,0.9002764168331653,0.7119041518196615,0.8134660831000742
55 t/m 70_20.000-29.999,0.5335982201198783,0.28964716224982534,0.3180140964382995,0.4735388814347572,0.30053391389577894,0.5362285371566639,0.5752588318635825,0.5603453235498436,0.5096663947359005,0.4133261787047228,0.6951391627461285,0.7017451784915569,0.6571752924580546,0.6057667234497967,0.6922921154548535,0.7999817929321185,0.7010802592769017,0.6551608840785474,0.5320308817640046,0.7315380684516203,0.8685554566489875,1.0,0.7917967481151161,0.63209069563756,0.8216294203840643
55 t/m 70_5.000-9.999,0.6453882778576235,0.3143928043409113,0.33342782186854547,0.5626950094359214,0.2938620517243221,0.5672398007623476,0.5972898224634112,0.6346884095158434,0.5862395460452311,0.41826570785142575,0.7820002815175147,0.7087232679483046,0.7064840878432012,0.6469611846934673,0.6816113212952096,0.8604018796321351,0.7764050795818915,0.7834020254478824,0.6066665935268462,0.6481883580708251,0.9002764168331653,0.7917967481151161,1.0,0.7527661865288662,0.7187368771934003
55 t/m 70_less than 4.999,0.592549130201383,0.42935167686773157,0.43664745905418734,0.6917707305993173,0.38715840170256033,0.6411990138062895,0.6362279458902782,0.7118207725536168,0.7803109886440368,0.46103395995937496,0.782555664977198,0.6057833787140433,0.7904903773959678,0.7930394912466897,0.565791145507501,0.7625916565876479,0.6803764350439854,0.7719254587044221,0.8147164703784756,0.5140640725717298,0.7119041518196615,0.63209069563756,0.7527661865288662,1.0,0.5133386761529752
55 t/m 70_more than 30.000,0.5123997029371476,0.2513144625344745,0.25368273935444186,0.3815536465513345,0.2422377207869003,0.43378283144555196,0.5084607484317175,0.48440436738568354,0.4136454034903629,0.4337074862915691,0.6389472261473994,0.736254254083848,0.5324583785723206,0.49406084930668076,0.739249598651404,0.7533930141193772,0.7024124450996834,0.5669701088177027,0.4185856380419627,0.7350843460963497,0.8134660831000742,0.8216294203840643,0.7187368771934003,0.5133386761529752,1.0
