population,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
35 t/m 44_less than 4.999,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.7380952380952381,0.14285714285714285,0.047619047619047616,0.38095238095238093,0.14285714285714285,0.0,0.35714285714285715,0.11904761904761904,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.21428571428571427,0.5476190476190477,0.16666666666666666,0.023809523809523808,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.21428571428571427,0.047619047619047616,0.023809523809523808,0.0,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.21428571428571427,0.07142857142857142,0.23809523809523808,0.023809523809523808,0.30952380952380953,0.14285714285714285,0.19047619047619047,0.5238095238095238,0.023809523809523808,0.38095238095238093,0.6607142857142857,0.5654761904761905,0.5059523809523809,0.5059523809523809,0.47619047619047616,0.41666666666666663,0.5,0.6607142857142857,0.6428571428571429,0.5714285714285714,0.4642857142857143,0.4464285714285714,0.4642857142857143,0.6726190476190477,0.45833333333333337,0.39880952380952384,0.5178571428571429,0.4642857142857143,0.47023809523809523,0.29761904761904767,0.4464285714285714,0.4107142857142857,0.44047619047619047,0.5178571428571429,0.49404761904761907
35 t/m 44_5.000-9.999,0.45714285714285713,0.2,0.08571428571428572,0.7714285714285715,0.22857142857142856,0.05714285714285714,0.4,0.42857142857142855,0.05714285714285714,0.45714285714285713,0.14285714285714285,0.0,0.08571428571428572,0.2857142857142857,0.14285714285714285,0.37142857142857144,0.6571428571428571,0.17142857142857143,0.11428571428571428,0.3142857142857143,0.05714285714285714,0.02857142857142857,0.2857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.2,0.3142857142857143,0.11428571428571428,0.11428571428571428,0.2571428571428571,0.34285714285714286,0.17142857142857143,0.0,0.3142857142857143,0.02857142857142857,0.34285714285714286,0.02857142857142857,0.17142857142857143,0.4857142857142857,0.02857142857142857,0.34285714285714286,0.6,0.6,0.47857142857142854,0.4285714285714286,0.4285714285714286,0.3857142857142857,0.4,0.5928571428571429,0.6571428571428571,0.5357142857142857,0.4214285714285714,0.3928571428571429,0.3928571428571429,0.6142857142857143,0.44285714285714284,0.37857142857142856,0.5642857142857143,0.3857142857142857,0.44285714285714284,0.2571428571428571,0.4,0.3285714285714286,0.4,0.5071428571428571,0.40714285714285714
35 t/m 44_10.000-19.999,0.6615384615384615,0.3076923076923077,0.13846153846153847,0.7384615384615385,0.13846153846153847,0.09230769230769231,0.5230769230769231,0.3076923076923077,0.046153846153846156,0.2923076923076923,0.24615384615384617,0.0,0.06153846153846154,0.2153846153846154,0.18461538461538463,0.4153846153846154,0.4461538461538462,0.12307692307692308,0.1076923076923077,0.23076923076923078,0.18461538461538463,0.06153846153846154,0.15384615384615385,0.1076923076923077,0.015384615384615385,0.06153846153846154,0.15384615384615385,0.24615384615384617,0.16923076923076924,0.13846153846153847,0.09230769230769231,0.2923076923076923,0.2153846153846154,0.15384615384615385,0.06153846153846154,0.26153846153846155,0.09230769230769231,0.3384615384615385,0.15384615384615385,0.3076923076923077,0.38461538461538464,0.03076923076923077,0.3615384615384616,0.6192307692307693,0.5923076923076923,0.49230769230769234,0.5076923076923077,0.48461538461538467,0.4346153846153846,0.4076923076923077,0.55,0.6576923076923077,0.5615384615384615,0.38076923076923075,0.3769230769230769,0.3961538461538462,0.6192307692307693,0.4,0.3653846153846154,0.5307692307692308,0.3730769230769231,0.49230769230769234,0.2846153846153846,0.40384615384615385,0.3538461538461538,0.3615384615384616,0.4807692307692307,0.43846153846153846
35 t/m 44_20.000-29.999,0.48484848484848486,0.21212121212121213,0.15151515151515152,0.7272727272727273,0.21212121212121213,0.06060606060606061,0.48484848484848486,0.3939393939393939,0.0,0.21212121212121213,0.18181818181818182,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.21212121212121213,0.3939393939393939,0.48484848484848486,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.12121212121212122,0.0,0.18181818181818182,0.06060606060606061,0.030303030303030304,0.12121212121212122,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.06060606060606061,0.12121212121212122,0.18181818181818182,0.36363636363636365,0.12121212121212122,0.21212121212121213,0.21212121212121213,0.06060606060606061,0.30303030303030304,0.06060606060606061,0.18181818181818182,0.3939393939393939,0.06060606060606061,0.3484848484848485,0.7121212121212122,0.6818181818181818,0.5303030303030303,0.5151515151515151,0.48484848484848486,0.446969696969697,0.5,0.5909090909090909,0.6742424242424242,0.5075757575757576,0.4242424242424242,0.43181818181818177,0.446969696969697,0.6363636363636364,0.3787878787878788,0.40909090909090906,0.553030303030303,0.38636363636363635,0.5378787878787878,0.31060606060606055,0.40909090909090906,0.4242424242424242,0.3939393939393939,0.446969696969697,0.4242424242424242
35 t/m 44_more than 30.000,0.59375,0.375,0.21875,0.65625,0.28125,0.15625,0.59375,0.375,0.03125,0.3125,0.3125,0.03125,0.09375,0.28125,0.1875,0.53125,0.5625,0.25,0.1875,0.3125,0.21875,0.03125,0.1875,0.25,0.03125,0.125,0.0625,0.375,0.34375,0.15625,0.09375,0.375,0.5625,0.3125,0.25,0.40625,0.1875,0.3125,0.15625,0.28125,0.5,0.03125,0.359375,0.59375,0.6328125,0.5,0.5703125,0.53125,0.390625,0.4921875,0.53125,0.71875,0.5234375,0.4453125,0.4296875,0.4140625,0.640625,0.421875,0.421875,0.5234375,0.3984375,0.5078125,0.3046875,0.390625,0.3203125,0.3203125,0.515625,0.3984375
45 t/m 54_less than 4.999,0.4318181818181818,0.13636363636363635,0.06818181818181818,0.6818181818181818,0.20454545454545456,0.045454545454545456,0.3181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.022727272727272728,0.18181818181818182,0.11363636363636363,0.13636363636363635,0.5909090909090909,0.13636363636363635,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.0,0.25,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.20454545454545456,0.20454545454545456,0.1590909090909091,0.06818181818181818,0.06818181818181818,0.25,0.25,0.25,0.045454545454545456,0.22727272727272727,0.022727272727272728,0.22727272727272727,0.045454545454545456,0.13636363636363635,0.4090909090909091,0.022727272727272728,0.3977272727272727,0.6079545454545454,0.5625,0.5,0.47159090909090906,0.49431818181818177,0.4204545454545454,0.4375,0.5511363636363636,0.6079545454545454,0.49431818181818177,0.4204545454545454,0.375,0.42613636363636365,0.6306818181818182,0.40909090909090906,0.3920454545454546,0.5170454545454546,0.36363636363636365,0.4829545454545454,0.31818181818181823,0.42613636363636365,0.40909090909090906,0.36931818181818177,0.5511363636363636,0.4602272727272727
45 t/m 54_5.000-9.999,0.44642857142857145,0.17857142857142858,0.03571428571428571,0.8571428571428571,0.05357142857142857,0.0,0.4107142857142857,0.26785714285714285,0.017857142857142856,0.21428571428571427,0.125,0.0,0.03571428571428571,0.17857142857142858,0.08928571428571429,0.32142857142857145,0.6428571428571429,0.03571428571428571,0.05357142857142857,0.16071428571428573,0.14285714285714285,0.03571428571428571,0.21428571428571427,0.10714285714285714,0.017857142857142856,0.03571428571428571,0.16071428571428573,0.25,0.125,0.05357142857142857,0.03571428571428571,0.26785714285714285,0.26785714285714285,0.125,0.05357142857142857,0.17857142857142858,0.017857142857142856,0.21428571428571427,0.05357142857142857,0.19642857142857142,0.6071428571428571,0.05357142857142857,0.4241071428571429,0.6428571428571429,0.5401785714285714,0.5,0.5,0.4821428571428571,0.3973214285714286,0.4508928571428571,0.5669642857142857,0.6383928571428571,0.5267857142857143,0.4241071428571429,0.3526785714285714,0.4151785714285714,0.65625,0.4017857142857143,0.3705357142857143,0.46875,0.3214285714285714,0.4553571428571429,0.25,0.3794642857142857,0.3214285714285714,0.3348214285714286,0.4910714285714286,0.4955357142857143
45 t/m 54_10.000-19.999,0.45454545454545453,0.34545454545454546,0.13636363636363635,0.7818181818181819,0.16363636363636364,0.05454545454545454,0.5,0.34545454545454546,0.03636363636363636,0.3090909090909091,0.22727272727272727,0.0,0.06363636363636363,0.16363636363636364,0.13636363636363635,0.44545454545454544,0.5636363636363636,0.08181818181818182,0.01818181818181818,0.2545454545454545,0.12727272727272726,0.02727272727272727,0.24545454545454545,0.14545454545454545,0.00909090909090909,0.01818181818181818,0.21818181818181817,0.21818181818181817,0.13636363636363635,0.1,0.02727272727272727,0.2636363636363636,0.20909090909090908,0.1,0.05454545454545454,0.2636363636363636,0.03636363636363636,0.19090909090909092,0.09090909090909091,0.35454545454545455,0.4909090909090909,0.03636363636363636,0.3954545454545455,0.6204545454545455,0.5931818181818181,0.47045454545454546,0.4840909090909091,0.46818181818181814,0.4,0.3931818181818182,0.4795454545454545,0.6272727272727273,0.5159090909090909,0.3772727272727273,0.3795454545454545,0.3477272727272728,0.6113636363636363,0.3568181818181818,0.32727272727272727,0.4977272727272727,0.36363636363636365,0.46590909090909094,0.22272727272727272,0.4022727272727272,0.36590909090909096,0.36818181818181817,0.5045454545454545,0.4613636363636363
45 t/m 54_20.000-29.999,0.5714285714285714,0.4,0.34285714285714286,0.8285714285714286,0.08571428571428572,0.0,0.4857142857142857,0.4857142857142857,0.05714285714285714,0.2857142857142857,0.34285714285714286,0.0,0.05714285714285714,0.08571428571428572,0.2571428571428571,0.5142857142857142,0.6857142857142857,0.05714285714285714,0.02857142857142857,0.2571428571428571,0.34285714285714286,0.05714285714285714,0.22857142857142856,0.2,0.0,0.05714285714285714,0.17142857142857143,0.45714285714285713,0.2571428571428571,0.17142857142857143,0.02857142857142857,0.2857142857142857,0.2571428571428571,0.11428571428571428,0.22857142857142856,0.2571428571428571,0.14285714285714285,0.22857142857142856,0.11428571428571428,0.37142857142857144,0.5714285714285714,0.05714285714285714,0.3857142857142857,0.6571428571428571,0.6142857142857143,0.4928571428571429,0.44999999999999996,0.5285714285714286,0.4,0.40714285714285714,0.5642857142857143,0.7142857142857143,0.5357142857142857,0.35,0.33571428571428574,0.37857142857142856,0.6214285714285714,0.4,0.3214285714285714,0.5,0.33571428571428574,0.5428571428571428,0.2142857142857143,0.4214285714285714,0.30000000000000004,0.2857142857142857,0.48571428571428577,0.4357142857142857
45 t/m 54_more than 30.000,0.6129032258064516,0.3870967741935484,0.2903225806451613,0.7096774193548387,0.1935483870967742,0.0967741935483871,0.6451612903225806,0.4838709677419355,0.03225806451612903,0.25806451612903225,0.25806451612903225,0.0,0.0,0.1935483870967742,0.25806451612903225,0.5483870967741935,0.6774193548387096,0.12903225806451613,0.06451612903225806,0.3225806451612903,0.2903225806451613,0.03225806451612903,0.2903225806451613,0.16129032258064516,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.3548387096774194,0.22580645161290322,0.16129032258064516,0.03225806451612903,0.4838709677419355,0.2903225806451613,0.06451612903225806,0.16129032258064516,0.22580645161290322,0.12903225806451613,0.2903225806451613,0.0967741935483871,0.5483870967741935,0.6129032258064516,0.06451612903225806,0.4838709677419355,0.6290322580645161,0.6370967741935484,0.5483870967741935,0.5806451612903226,0.5241935483870968,0.44354838709677424,0.3548387096774194,0.3306451612903226,0.6935483870967742,0.47580645161290325,0.3709677419354839,0.3548387096774194,0.3629032258064516,0.6290322580645161,0.3709677419354839,0.4193548387096774,0.6209677419354839,0.44354838709677424,0.5161290322580645,0.27419354838709675,0.3467741935483871,0.3870967741935484,0.33870967741935487,0.5,0.4354838709677419
