population,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
35 t/m 44_5.000-9.999,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.6153846153846154,0.23076923076923078,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.07692307692307693,0.34615384615384615,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.34615384615384615,0.38461538461538464,0.15384615384615385,0.5769230769230769,0.2692307692307692,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.038461538461538464,0.23076923076923078,0.11538461538461539,0.0,0.07692307692307693,0.07692307692307693,0.4230769230769231,0.3076923076923077,0.34615384615384615,0.11538461538461539,0.3076923076923077,0.34615384615384615,0.23076923076923078,0.19230769230769232,0.3076923076923077,0.11538461538461539,0.19230769230769232,0.11538461538461539,0.15384615384615385,0.4230769230769231,0.038461538461538464,0.4326923076923077,0.6057692307692307,0.5673076923076923,0.5673076923076923,0.5480769230769231,0.5096153846153846,0.4807692307692307,0.4423076923076923,0.5480769230769231,0.6730769230769231,0.5576923076923077,0.4326923076923077,0.5096153846153846,0.4903846153846154,0.5961538461538461,0.41346153846153844,0.4423076923076923,0.45192307692307687,0.28846153846153844,0.5,0.27884615384615385,0.5,0.40384615384615385,0.4326923076923077,0.4423076923076923,0.34615384615384615
35 t/m 44_10.000-19.999,0.5263157894736842,0.2894736842105263,0.05263157894736842,0.7105263157894737,0.3026315789473684,0.10526315789473684,0.3815789473684211,0.2631578947368421,0.09210526315789473,0.4473684210526316,0.2236842105263158,0.02631578947368421,0.06578947368421052,0.47368421052631576,0.3157894736842105,0.25,0.6447368421052632,0.21052631578947367,0.13157894736842105,0.27631578947368424,0.18421052631578946,0.09210526315789473,0.35526315789473684,0.17105263157894737,0.06578947368421052,0.02631578947368421,0.07894736842105263,0.5921052631578947,0.34210526315789475,0.3157894736842105,0.14473684210526316,0.4605263157894737,0.4868421052631579,0.23684210526315788,0.21052631578947367,0.4342105263157895,0.17105263157894737,0.34210526315789475,0.13157894736842105,0.23684210526315788,0.5131578947368421,0.013157894736842105,0.48684210526315785,0.5822368421052632,0.5625,0.5394736842105263,0.5131578947368421,0.4901315789473685,0.4013157894736842,0.3782894736842105,0.5263157894736842,0.5756578947368421,0.5230263157894737,0.35855263157894735,0.4013157894736842,0.4013157894736842,0.5526315789473685,0.41776315789473684,0.42105263157894735,0.4769736842105263,0.3453947368421053,0.48026315789473684,0.3453947368421053,0.45723684210526316,0.4013157894736842,0.4111842105263158,0.4375,0.3980263157894737
35 t/m 44_20.000-29.999,0.43902439024390244,0.4878048780487805,0.17073170731707318,0.5121951219512195,0.36585365853658536,0.07317073170731707,0.5609756097560976,0.34146341463414637,0.17073170731707318,0.43902439024390244,0.2926829268292683,0.04878048780487805,0.04878048780487805,0.3170731707317073,0.3902439024390244,0.4634146341463415,0.5853658536585366,0.2682926829268293,0.17073170731707318,0.4146341463414634,0.21951219512195122,0.14634146341463414,0.36585365853658536,0.21951219512195122,0.0975609756097561,0.04878048780487805,0.0975609756097561,0.4878048780487805,0.2926829268292683,0.3170731707317073,0.24390243902439024,0.43902439024390244,0.4146341463414634,0.2682926829268293,0.21951219512195122,0.43902439024390244,0.24390243902439024,0.3170731707317073,0.0975609756097561,0.34146341463414637,0.6097560975609756,0.04878048780487805,0.39634146341463417,0.6097560975609756,0.6585365853658537,0.5914634146341463,0.5609756097560976,0.5670731707317073,0.4207317073170732,0.38414634146341464,0.4512195121951219,0.6036585365853658,0.4390243902439024,0.323170731707317,0.4085365853658537,0.3780487804878049,0.5548780487804879,0.35365853658536583,0.39634146341463417,0.5060975609756098,0.4085365853658537,0.573170731707317,0.4207317073170732,0.46341463414634143,0.3902439024390244,0.3902439024390244,0.4390243902439024,0.36585365853658536
35 t/m 44_more than 30.000,0.3684210526315789,0.4473684210526316,0.10526315789473684,0.42105263157894735,0.3157894736842105,0.10526315789473684,0.47368421052631576,0.34210526315789475,0.13157894736842105,0.4473684210526316,0.34210526315789475,0.10526315789473684,0.0,0.34210526315789475,0.39473684210526316,0.42105263157894735,0.4473684210526316,0.3157894736842105,0.13157894736842105,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.5263157894736842,0.21052631578947367,0.10526315789473684,0.0,0.07894736842105263,0.5,0.42105263157894735,0.21052631578947367,0.13157894736842105,0.5789473684210527,0.42105263157894735,0.3157894736842105,0.23684210526315788,0.5,0.07894736842105263,0.2894736842105263,0.2894736842105263,0.42105263157894735,0.39473684210526316,0.0,0.36184210526315785,0.5723684210526315,0.6118421052631579,0.6118421052631579,0.5263157894736842,0.48684210526315785,0.375,0.375,0.4144736842105263,0.5986842105263158,0.45394736842105265,0.35526315789473684,0.4078947368421053,0.3486842105263158,0.5131578947368421,0.35526315789473684,0.38815789473684215,0.4342105263157895,0.3223684210526315,0.42105263157894735,0.3092105263157895,0.4736842105263158,0.42105263157894735,0.4013157894736842,0.39473684210526316,0.4013157894736842
45 t/m 54_less than 4.999,0.37037037037037035,0.14814814814814814,0.05555555555555555,0.5925925925925926,0.3148148148148148,0.037037037037037035,0.18518518518518517,0.09259259259259259,0.0,0.4074074074074074,0.09259259259259259,0.0,0.05555555555555555,0.42592592592592593,0.14814814814814814,0.16666666666666666,0.46296296296296297,0.2037037037037037,0.018518518518518517,0.1111111111111111,0.07407407407407407,0.018518518518518517,0.2962962962962963,0.14814814814814814,0.05555555555555555,0.037037037037037035,0.18518518518518517,0.46296296296296297,0.3333333333333333,0.2777777777777778,0.018518518518518517,0.2962962962962963,0.35185185185185186,0.18518518518518517,0.07407407407407407,0.3148148148148148,0.05555555555555555,0.14814814814814814,0.24074074074074073,0.25925925925925924,0.46296296296296297,0.018518518518518517,0.45833333333333337,0.6574074074074074,0.6527777777777778,0.5509259259259259,0.6203703703703703,0.5740740740740741,0.45833333333333337,0.4722222222222222,0.6481481481481481,0.6435185185185185,0.5925925925925926,0.3935185185185185,0.43518518518518523,0.4537037037037037,0.6388888888888888,0.4722222222222222,0.4814814814814815,0.5648148148148148,0.39814814814814814,0.5509259259259259,0.3935185185185185,0.4814814814814815,0.4629629629629629,0.45833333333333337,0.4814814814814815,0.37962962962962965
45 t/m 54_5.000-9.999,0.5454545454545454,0.3181818181818182,0.022727272727272728,0.7954545454545454,0.3181818181818182,0.09090909090909091,0.2727272727272727,0.3409090909090909,0.06818181818181818,0.38636363636363635,0.20454545454545456,0.0,0.06818181818181818,0.38636363636363635,0.18181818181818182,0.22727272727272727,0.7272727272727273,0.18181818181818182,0.13636363636363635,0.25,0.11363636363636363,0.045454545454545456,0.4318181818181818,0.13636363636363635,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.6136363636363636,0.3181818181818182,0.13636363636363635,0.11363636363636363,0.36363636363636365,0.5,0.13636363636363635,0.1590909090909091,0.4318181818181818,0.022727272727272728,0.4318181818181818,0.1590909090909091,0.3409090909090909,0.6818181818181818,0.0,0.44318181818181823,0.6761363636363636,0.6193181818181818,0.5738636363636364,0.5681818181818182,0.5681818181818182,0.4204545454545454,0.40340909090909094,0.5511363636363636,0.6420454545454546,0.5909090909090909,0.3352272727272727,0.43181818181818177,0.36363636363636365,0.5568181818181818,0.3977272727272727,0.40340909090909094,0.4829545454545454,0.3295454545454546,0.48863636363636365,0.25568181818181823,0.4602272727272727,0.375,0.38636363636363635,0.49431818181818177,0.36363636363636365
45 t/m 54_10.000-19.999,0.5119047619047619,0.4642857142857143,0.14285714285714285,0.7023809523809523,0.2857142857142857,0.11904761904761904,0.44047619047619047,0.2976190476190476,0.10714285714285714,0.5476190476190477,0.2976190476190476,0.023809523809523808,0.03571428571428571,0.2857142857142857,0.3333333333333333,0.40476190476190477,0.5833333333333334,0.16666666666666666,0.13095238095238096,0.27380952380952384,0.16666666666666666,0.11904761904761904,0.42857142857142855,0.16666666666666666,0.011904761904761904,0.047619047619047616,0.15476190476190477,0.5833333333333334,0.34523809523809523,0.2857142857142857,0.16666666666666666,0.4166666666666667,0.47619047619047616,0.25,0.14285714285714285,0.4523809523809524,0.13095238095238096,0.2619047619047619,0.19047619047619047,0.32142857142857145,0.6071428571428571,0.023809523809523808,0.43452380952380953,0.625,0.6101190476190477,0.5773809523809523,0.5892857142857143,0.5476190476190477,0.39583333333333337,0.39880952380952384,0.5654761904761905,0.6488095238095238,0.5238095238095238,0.3928571428571429,0.42261904761904767,0.41369047619047616,0.5714285714285714,0.38095238095238093,0.42261904761904767,0.47619047619047616,0.3035714285714286,0.5029761904761905,0.29166666666666663,0.44940476190476186,0.38988095238095233,0.44047619047619047,0.4910714285714286,0.35416666666666663
45 t/m 54_20.000-29.999,0.5757575757575758,0.45454545454545453,0.10606060606060606,0.7121212121212122,0.3939393939393939,0.09090909090909091,0.45454545454545453,0.3484848484848485,0.09090909090909091,0.5151515151515151,0.2878787878787879,0.015151515151515152,0.015151515151515152,0.36363636363636365,0.4090909090909091,0.5151515151515151,0.7272727272727273,0.3181818181818182,0.07575757575757576,0.3484848484848485,0.18181818181818182,0.09090909090909091,0.4696969696969697,0.19696969696969696,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.5303030303030303,0.3787878787878788,0.4090909090909091,0.18181818181818182,0.4696969696969697,0.5303030303030303,0.25757575757575757,0.24242424242424243,0.5151515151515151,0.18181818181818182,0.3181818181818182,0.19696969696969696,0.3787878787878788,0.5303030303030303,0.015151515151515152,0.428030303030303,0.6477272727272727,0.6477272727272727,0.5833333333333334,0.5984848484848485,0.5757575757575758,0.43939393939393945,0.4204545454545454,0.5113636363636364,0.6477272727272727,0.5265151515151515,0.38257575757575757,0.40909090909090906,0.4204545454545454,0.5871212121212122,0.41287878787878785,0.41287878787878785,0.48863636363636365,0.34090909090909094,0.5151515151515151,0.31439393939393945,0.48484848484848486,0.41666666666666663,0.4507575757575758,0.46212121212121215,0.38257575757575757
45 t/m 54_more than 30.000,0.46875,0.375,0.15625,0.5,0.21875,0.09375,0.46875,0.25,0.0625,0.375,0.1875,0.03125,0.03125,0.21875,0.3125,0.40625,0.53125,0.25,0.15625,0.375,0.125,0.09375,0.3125,0.09375,0.03125,0.0625,0.125,0.5625,0.40625,0.125,0.0625,0.53125,0.40625,0.25,0.25,0.40625,0.1875,0.375,0.09375,0.4375,0.375,0.03125,0.2421875,0.625,0.515625,0.484375,0.578125,0.46875,0.296875,0.4296875,0.3359375,0.5546875,0.4296875,0.3125,0.3671875,0.265625,0.453125,0.296875,0.3984375,0.4375,0.2578125,0.4609375,0.3203125,0.4140625,0.3828125,0.359375,0.3984375,0.390625
55 t/m 70_less than 4.999,0.4444444444444444,0.2222222222222222,0.031746031746031744,0.5396825396825397,0.2698412698412698,0.047619047619047616,0.25396825396825395,0.15873015873015872,0.047619047619047616,0.38095238095238093,0.12698412698412698,0.0,0.09523809523809523,0.3968253968253968,0.30158730158730157,0.2698412698412698,0.6507936507936508,0.23809523809523808,0.07936507936507936,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.15873015873015872,0.015873015873015872,0.047619047619047616,0.19047619047619047,0.4603174603174603,0.3492063492063492,0.2698412698412698,0.07936507936507936,0.3492063492063492,0.47619047619047616,0.2857142857142857,0.12698412698412698,0.3492063492063492,0.12698412698412698,0.25396825396825395,0.1746031746031746,0.23809523809523808,0.5396825396825397,0.031746031746031744,0.4642857142857143,0.6626984126984127,0.6031746031746031,0.5555555555555556,0.5595238095238095,0.5634920634920635,0.4642857142857143,0.4484126984126984,0.6785714285714286,0.6428571428571429,0.5873015873015873,0.376984126984127,0.46031746031746035,0.4126984126984127,0.623015873015873,0.4484126984126984,0.45238095238095233,0.5,0.36904761904761907,0.49603174603174605,0.33333333333333337,0.4920634920634921,0.4365079365079365,0.4841269841269841,0.5476190476190477,0.34523809523809523
